Dre Gene ID	Dre Protein ID	Dre Gene Name	Pka Gene ID	Pka Protein ID	Pka Gene Name
ENSDARP00000064111	ENSDARG00000043665	glrx5	ENSPKIP00000006262	ENSPKIG00000022618	glrx5
ENSDARP00000110900	ENSDARG00000087461	si:dkey-21c1.4	ENSPKIP00000034587	ENSPKIG00000013855	
ENSDARP00000139136	ENSDARG00000098367	srp54	ENSPKIP00000015199	ENSPKIG00000001953	srp54
ENSDARP00000103969	ENSDARG00000075730	dnph1	ENSPKIP00000027780	ENSPKIG00000009695	DNPH1
ENSDARP00000052418	ENSDARG00000036106	rgs18	ENSPKIP00000011869	ENSPKIG00000018364	rgs18
ENSDARP00000093996	ENSDARG00000070386	krtcap2	ENSPKIP00000034884	ENSPKIG00000014039	krtcap2
ENSDARP00000064545	ENSDARG00000043963	si:ch211-241j12.3	ENSPKIP00000040954	ENSPKIG00000017702	si:ch211-241j12.3
ENSDARP00000118528	ENSDARG00000044561	ccr7	ENSPKIP00000024414	ENSPKIG00000007679	ccr7
ENSDARP00000026082	ENSDARG00000020475	znrf1	ENSPKIP00000037007	ENSPKIG00000015361	znrf1
ENSDARP00000113431	ENSDARG00000058601	gdap1	ENSPKIP00000022551	ENSPKIG00000006510	gdap1
ENSDARP00000101015	ENSDARG00000079110	cluap1	ENSPKIP00000022498	ENSPKIG00000006470	cluap1
ENSDARP00000025588	ENSDARG00000015158	slc50a1	ENSPKIP00000034838	ENSPKIG00000014019	slc50a1
ENSDARP00000104949	ENSDARG00000079686	naa30	ENSPKIP00000014717	ENSPKIG00000001688	naa30
ENSDARP00000040899	ENSDARG00000030881	baxb	ENSPKIP00000002002	ENSPKIG00000020058	
ENSDARP00000041191	ENSDARG00000033138	lyrm2	ENSPKIP00000041929	ENSPKIG00000018291	LYRM2
ENSDARP00000126784	ENSDARG00000075436	sytl2b	ENSPKIP00000037230	ENSPKIG00000015460	
ENSDARP00000027408	ENSDARG00000007344	tcap	ENSPKIP00000003720	ENSPKIG00000021114	tcap
ENSDARP00000026364	ENSDARG00000018529	lipf	ENSPKIP00000010223	ENSPKIG00000025024	lipf
ENSDARP00000125648	ENSDARG00000077540	f2rl1.2	ENSPKIP00000030206	ENSPKIG00000011155	f2rl1.2
ENSDARP00000123831	ENSDARG00000055054	bcl9l	ENSPKIP00000034297	ENSPKIG00000013683	bcl9l
ENSDARP00000081358	ENSDARG00000061161	ube2j2	ENSPKIP00000024765	ENSPKIG00000007880	ube2j2
ENSDARP00000108267	ENSDARG00000089717	qpct	ENSPKIP00000004028	ENSPKIG00000021290	qpct
ENSDARP00000140942	ENSDARG00000099635	akap8l	ENSPKIP00000035924	ENSPKIG00000014648	akap8l
ENSDARP00000101046	ENSDARG00000033727	il12ba	ENSPKIP00000015443	ENSPKIG00000002145	IL12B
ENSDARP00000063151	ENSDARG00000043011	chst14	ENSPKIP00000025997	ENSPKIG00000008648	chst14
ENSDARP00000084079	ENSDARG00000006758	fam234b	ENSPKIP00000023806	ENSPKIG00000007288	fam234b
ENSDARP00000129235	ENSDARG00000075209	p4htmb	ENSPKIP00000013499	ENSPKIG00000000917	p4htmb
ENSDARP00000060159	ENSDARG00000041062	calb2a	ENSPKIP00000016141	ENSPKIG00000002590	CALB2
ENSDARP00000094053	ENSDARG00000070407	abitram	ENSPKIP00000003056	ENSPKIG00000020713	abitram
ENSDARP00000086520	ENSDARG00000063197	golga2	ENSPKIP00000020185	ENSPKIG00000004937	golga2
ENSDARP00000094421	ENSDARG00000045910	tmem181	ENSPKIP00000008402	ENSPKIG00000023911	tmem181
ENSDARP00000142816	ENSDARG00000098915	cirop	ENSPKIP00000023750	ENSPKIG00000007262	cirop
ENSDARP00000047377	ENSDARG00000031649	sst6.1	ENSPKIP00000033464	ENSPKIG00000013168	sst6.1
ENSDARP00000135282	ENSDARG00000104537	cox7c	ENSPKIP00000014832	ENSPKIG00000001757	cox7c
ENSDARP00000136677	ENSDARG00000102145	ccdc77	ENSPKIP00000013018	ENSPKIG00000000604	ccdc77
ENSDARP00000112621	ENSDARG00000078536	si:ch211-158d24.2	ENSPKIP00000011980	ENSPKIG00000025634	
ENSDARP00000116060	ENSDARG00000004132	usp19	ENSPKIP00000006838	ENSPKIG00000022950	usp19
ENSDARP00000017354	ENSDARG00000011693	ttc36	ENSPKIP00000038006	ENSPKIG00000015965	ttc36
ENSDARP00000144710	ENSDARG00000101989	thrap3a	ENSPKIP00000020330	ENSPKIG00000005150	thrap3a
ENSDARP00000099973	ENSDARG00000077637	mal2	ENSPKIP00000001348	ENSPKIG00000019681	mal2
ENSDARP00000116435	ENSDARG00000077643	lypd6b	ENSPKIP00000018267	ENSPKIG00000003883	lypd6b
ENSDARP00000021860	ENSDARG00000009021	chrna1	ENSPKIP00000019092	ENSPKIG00000004406	chrna1
ENSDARP00000147345	ENSDARG00000003531	tcea1	ENSPKIP00000029653	ENSPKIG00000010819	tcea1
ENSDARP00000060713	ENSDARG00000041417	atp6ap1a	ENSPKIP00000009283	ENSPKIG00000024454	atp6ap1a
ENSDARP00000036480	ENSDARG00000021572	cgasa	ENSPKIP00000022656	ENSPKIG00000006564	cgasa
ENSDARP00000120146	ENSDARG00000021556	ubl3b	ENSPKIP00000003279	ENSPKIG00000020851	ubl3b
ENSDARP00000076820	ENSDARG00000059308	golt1bb	ENSPKIP00000025018	ENSPKIG00000008042	golt1bb
ENSDARP00000104861	ENSDARG00000086305	si:ch211-63b16.4	ENSPKIP00000018051	ENSPKIG00000003715	
ENSDARP00000143556	ENSDARG00000015890	mafa	ENSPKIP00000013283	ENSPKIG00000000774	MAF
ENSDARP00000050686	ENSDARG00000035028	lpcat4	ENSPKIP00000030653	ENSPKIG00000011415	lpcat4
ENSDARP00000117024	ENSDARG00000038900	acadm	ENSPKIP00000027756	ENSPKIG00000009680	
ENSDARP00000083707	ENSDARG00000062063	tab3	ENSPKIP00000039633	ENSPKIG00000016918	tab3
ENSDARP00000138979	ENSDARG00000103264	si:dkey-25g12.4	ENSPKIP00000002565	ENSPKIG00000020407	
ENSDARP00000114740	ENSDARG00000021982	sh3bp2	ENSPKIP00000005930	ENSPKIG00000022417	sh3bp2
ENSDARP00000120895	ENSDARG00000042033	ntmt2	ENSPKIP00000021286	ENSPKIG00000005754	ntmt2
ENSDARP00000135555	ENSDARG00000099104	rpl24	ENSPKIP00000028691	ENSPKIG00000010232	rpl24
ENSDARP00000156978	ENSDARG00000078822	ccdc18	ENSPKIP00000020122	ENSPKIG00000005015	ccdc18
ENSDARP00000039280	ENSDARG00000040854	tsg101a	ENSPKIP00000012619	ENSPKIG00000000356	tsg101a
ENSDARP00000138225	ENSDARG00000101521	si:ch1073-205c8.4	ENSPKIP00000025285	ENSPKIG00000008202	
ENSDARP00000096299	ENSDARG00000061417	nub1	ENSPKIP00000016048	ENSPKIG00000002539	nub1
ENSDARP00000097500	ENSDARG00000073787	si:ch73-303b9.1	ENSPKIP00000037624	ENSPKIG00000015728	si:ch73-303b9.1
ENSDARP00000128458	ENSDARG00000061091	gtpbp6	ENSPKIP00000006094	ENSPKIG00000022514	gtpbp6
ENSDARP00000103644	ENSDARG00000074016	ptgfr	ENSPKIP00000026494	ENSPKIG00000008959	ptgfr
ENSDARP00000036949	ENSDARG00000017960	sfxn2	ENSPKIP00000033128	ENSPKIG00000012936	sfxn2
ENSDARP00000106399	ENSDARG00000013777	ppp1r13l	ENSPKIP00000033272	ENSPKIG00000013033	ppp1r13l
ENSDARP00000142738	ENSDARG00000105669	nfx1	ENSPKIP00000039614	ENSPKIG00000016899	nfx1
ENSDARP00000052351	ENSDARG00000036063	ppp1r11	ENSPKIP00000030616	ENSPKIG00000011408	ppp1r11
ENSDARP00000104615	ENSDARG00000012968	rhoub	ENSPKIP00000028556	ENSPKIG00000010162	rhoub
ENSDARP00000107236	ENSDARG00000088844	deaf1	ENSPKIP00000016591	ENSPKIG00000002796	deaf1
ENSDARP00000150616	ENSDARG00000027916	fntb	ENSPKIP00000014675	ENSPKIG00000001647	fntb
ENSDARP00000029934	ENSDARG00000024109	naa40	ENSPKIP00000008054	ENSPKIG00000023709	naa40
ENSDARP00000154753	ENSDARG00000020289	pif1	ENSPKIP00000025782	ENSPKIG00000008520	PIF1
ENSDARP00000126753	ENSDARG00000094157	si:dkey-27j5.10	ENSPKIP00000002467	ENSPKIG00000020346	
ENSDARP00000036773	ENSDARG00000026839	med21	ENSPKIP00000010892	ENSPKIG00000025429	med21
ENSDARP00000137115	ENSDARG00000098904	pex1	ENSPKIP00000013251	ENSPKIG00000000748	pex1
ENSDARP00000127247	ENSDARG00000075883	bub3	ENSPKIP00000017098	ENSPKIG00000003151	bub3
ENSDARP00000114245	ENSDARG00000075958	si:dkey-266f7.9	ENSPKIP00000003151	ENSPKIG00000020772	si:dkey-266f7.9
ENSDARP00000142741	ENSDARG00000020953	dnajb6b	ENSPKIP00000032697	ENSPKIG00000012679	
ENSDARP00000099327	ENSDARG00000075468	vwa1	ENSPKIP00000027561	ENSPKIG00000009575	vwa1
ENSDARP00000156696	ENSDARG00000103220	slc10a3	ENSPKIP00000019540	ENSPKIG00000004672	slc10a3
ENSDARP00000092768	ENSDARG00000069852	lipt2	ENSPKIP00000011354	ENSPKIG00000018486	lipt2
ENSDARP00000100864	ENSDARG00000074031	fastkd2	ENSPKIP00000025189	ENSPKIG00000008149	
ENSDARP00000096384	ENSDARG00000071437	ptprc	ENSPKIP00000001686	ENSPKIG00000019757	PTPRC
ENSDARP00000153053	ENSDARG00000003920	setb	ENSPKIP00000035603	ENSPKIG00000014492	setb
ENSDARP00000123538	ENSDARG00000088383	cox5aa	ENSPKIP00000018913	ENSPKIG00000004296	cox5aa
ENSDARP00000155545	ENSDARG00000012874	snap23.1	ENSPKIP00000026001	ENSPKIG00000008651	snap23.1
ENSDARP00000145783	ENSDARG00000099733	cirsr	ENSPKIP00000019177	ENSPKIG00000004454	cirsr
ENSDARP00000142360	ENSDARG00000074761	bicdl1	ENSPKIP00000010302	ENSPKIG00000025071	bicdl1
ENSDARP00000068039	ENSDARG00000031243	snai3	ENSPKIP00000024734	ENSPKIG00000007872	SNAI3
ENSDARP00000037582	ENSDARG00000058352	acot9.1	ENSPKIP00000031637	ENSPKIG00000011966	acot9.2
ENSDARP00000132576	ENSDARG00000098365	lrrc74b	ENSPKIP00000032857	ENSPKIG00000012793	lrrc74b
ENSDARP00000045893	ENSDARG00000018891	rnaseh2a	ENSPKIP00000027898	ENSPKIG00000009756	rnaseh2a
ENSDARP00000008451	ENSDARG00000025507	wdr24	ENSPKIP00000022797	ENSPKIG00000006666	wdr24
ENSDARP00000124664	ENSDARG00000075866	cdcp2	ENSPKIP00000028874	ENSPKIG00000010337	cdcp2
ENSDARP00000114307	ENSDARG00000079062	samd1b	ENSPKIP00000037006	ENSPKIG00000015366	samd1b
ENSDARP00000116595	ENSDARG00000021462	daw1	ENSPKIP00000039147	ENSPKIG00000016621	daw1
ENSDARP00000128111	ENSDARG00000093931	rflnb	ENSPKIP00000020773	ENSPKIG00000005435	rflnb
ENSDARP00000115633	ENSDARG00000035695	scxa	ENSPKIP00000002392	ENSPKIG00000020300	SCX
ENSDARP00000153423	ENSDARG00000013670	hyou1	ENSPKIP00000018126	ENSPKIG00000003796	hyou1
ENSDARP00000004350	ENSDARG00000002487	noc3l	ENSPKIP00000021430	ENSPKIG00000005812	noc3l
ENSDARP00000117091	ENSDARG00000059485	emb	ENSPKIP00000008525	ENSPKIG00000023980	emb
ENSDARP00000066780	ENSDARG00000045414	elovl2	ENSPKIP00000023756	ENSPKIG00000007247	ELOVL2
ENSDARP00000143414	ENSDARG00000101660	sntg2	ENSPKIP00000038304	ENSPKIG00000016120	sntg2
ENSDARP00000127636	ENSDARG00000074906	znf831	ENSPKIP00000020690	ENSPKIG00000005375	
ENSDARP00000143197	ENSDARG00000087191	wdr93	ENSPKIP00000004197	ENSPKIG00000021383	
ENSDARP00000052661	ENSDARG00000036254	hoxa13b	ENSPKIP00000027149	ENSPKIG00000009334	hoxa13b
ENSDARP00000073893	ENSDARG00000056871	ap4m1	ENSPKIP00000001020	ENSPKIG00000019442	ap4m1
ENSDARP00000020595	ENSDARG00000009978	icn	ENSPKIP00000035056	ENSPKIG00000014153	icn
ENSDARP00000110037	ENSDARG00000076017	tmem69	ENSPKIP00000019026	ENSPKIG00000004362	tmem69
ENSDARP00000001256	ENSDARG00000001656	psmb13a	ENSPKIP00000000773	ENSPKIG00000019313	psmb13a
ENSDARP00000045286	ENSDARG00000020231	mapre3a	ENSPKIP00000001026	ENSPKIG00000019457	mapre3a
ENSDARP00000070422	ENSDARG00000053840	ei24	ENSPKIP00000037993	ENSPKIG00000015962	ei24
ENSDARP00000091038	ENSDARG00000061062	nemp2	ENSPKIP00000026347	ENSPKIG00000008873	nemp2
ENSDARP00000016376	ENSDARG00000015978	cox5ba	ENSPKIP00000036548	ENSPKIG00000015071	cox5ba
ENSDARP00000062095	ENSDARG00000042345	si:dkeyp-55f12.3	ENSPKIP00000031882	ENSPKIG00000012200	si:dkeyp-55f12.3
ENSDARP00000062093	ENSDARG00000042341	tmem251	ENSPKIP00000031910	ENSPKIG00000012219	tmem251
ENSDARP00000015462	ENSDARG00000002506	zgc:92818	ENSPKIP00000029788	ENSPKIG00000010899	zgc:92818
ENSDARP00000093251	ENSDARG00000090526	plekhs1.3	ENSPKIP00000028785	ENSPKIG00000010276	plekhs1.3
ENSDARP00000117925	ENSDARG00000031681	atp6v0b	ENSPKIP00000030104	ENSPKIG00000011085	atp6v0b
ENSDARP00000100969	ENSDARG00000078315	spring1	ENSPKIP00000032648	ENSPKIG00000012659	spring1
ENSDARP00000150526	ENSDARG00000022525	mchr1b	ENSPKIP00000007886	ENSPKIG00000023612	mchr1b
ENSDARP00000094377	ENSDARG00000045900	agbl5	ENSPKIP00000033521	ENSPKIG00000013187	agbl5
ENSDARP00000070007	ENSDARG00000053488	si:ch73-22a13.3	ENSPKIP00000010488	ENSPKIG00000025191	si:ch73-22a13.3
ENSDARP00000123170	ENSDARG00000040309	pxdc1b	ENSPKIP00000027992	ENSPKIG00000009812	PXDC1
ENSDARP00000122262	ENSDARG00000018159	ano10b	ENSPKIP00000036828	ENSPKIG00000015252	ano10b
ENSDARP00000094120	ENSDARG00000000588	tamalin	ENSPKIP00000039748	ENSPKIG00000016990	tamalin
ENSDARP00000112190	ENSDARG00000055653	nubp2	ENSPKIP00000025710	ENSPKIG00000008473	NUBP2
ENSDARP00000113724	ENSDARG00000029660	commd5	ENSPKIP00000014224	ENSPKIG00000001371	commd5
ENSDARP00000131768	ENSDARG00000099833	fbxo7	ENSPKIP00000014985	ENSPKIG00000001848	fbxo7
ENSDARP00000002263	ENSDARG00000010630	hoxb6a	ENSPKIP00000012680	ENSPKIG00000000403	hoxb6a
ENSDARP00000076844	ENSDARG00000059323	rpn1	ENSPKIP00000020595	ENSPKIG00000005304	rpn1
ENSDARP00000119163	ENSDARG00000096613	si:ch73-212j7.3	ENSPKIP00000018435	ENSPKIG00000004001	PLEKHG3
ENSDARP00000046890	ENSDARG00000030872	cetp	ENSPKIP00000015663	ENSPKIG00000002300	cetp
ENSDARP00000100238	ENSDARG00000076239	adisspb	ENSPKIP00000034187	ENSPKIG00000013610	adisspa
ENSDARP00000135280	ENSDARG00000099084	pcif1	ENSPKIP00000016875	ENSPKIG00000003011	pcif1
ENSDARP00000082917	ENSDARG00000061764	ahnak	ENSPKIP00000013636	ENSPKIG00000000988	
ENSDARP00000124392	ENSDARG00000068156	chchd7	ENSPKIP00000029074	ENSPKIG00000010440	chchd7
ENSDARP00000121210	ENSDARG00000070668	cd4-1	ENSPKIP00000015773	ENSPKIG00000002370	
ENSDARP00000105906	ENSDARG00000019746	rfng	ENSPKIP00000022900	ENSPKIG00000006732	rfng
ENSDARP00000046208	ENSDARG00000094730	acbd7	ENSPKIP00000012091	ENSPKIG00000000006	acbd7
ENSDARP00000076660	ENSDARG00000059177	tax1bp3	ENSPKIP00000027484	ENSPKIG00000009527	tax1bp3
ENSDARP00000049263	ENSDARG00000017794	sdr16c5b	ENSPKIP00000028985	ENSPKIG00000010405	sdr16c5b
ENSDARP00000030023	ENSDARG00000027822	tmtops2b	ENSPKIP00000031181	ENSPKIG00000011772	tmtops2b
ENSDARP00000017149	ENSDARG00000012840	alg9	ENSPKIP00000027354	ENSPKIG00000009438	alg9
ENSDARP00000127121	ENSDARG00000096749	ndufaf8	ENSPKIP00000034345	ENSPKIG00000013710	ndufaf8
ENSDARP00000048394	ENSDARG00000032976	cmlc1	ENSPKIP00000021228	ENSPKIG00000005692	
ENSDARP00000129537	ENSDARG00000076512	si:ch211-265g22.4	ENSPKIP00000038354	ENSPKIG00000016158	si:ch211-265g22.4
ENSDARP00000099952	ENSDARG00000017320	f11r.1	ENSPKIP00000003295	ENSPKIG00000020862	
ENSDARP00000114070	ENSDARG00000055751	fosb	ENSPKIP00000030154	ENSPKIG00000011100	fosb
ENSDARP00000076775	ENSDARG00000059263	hoxd12a	ENSPKIP00000006958	ENSPKIG00000023038	hoxd12a
ENSDARP00000059375	ENSDARG00000040571	ube4a	ENSPKIP00000011455	ENSPKIG00000018526	ube4a
ENSDARP00000074090	ENSDARG00000057042	tm2d1	ENSPKIP00000016259	ENSPKIG00000002662	tm2d1
ENSDARP00000097554	ENSDARG00000074660	rilp	ENSPKIP00000030196	ENSPKIG00000011143	rilp
ENSDARP00000115652	ENSDARG00000074742	elmod3	ENSPKIP00000014564	ENSPKIG00000001597	elmod3
ENSDARP00000085284	ENSDARG00000062655	ydjc	ENSPKIP00000033364	ENSPKIG00000013111	ydjc
ENSDARP00000131338	ENSDARG00000104071	hikeshi	ENSPKIP00000021149	ENSPKIG00000005655	hikeshi
ENSDARP00000014434	ENSDARG00000010610	sarm1	ENSPKIP00000029802	ENSPKIG00000010900	sarm1
ENSDARP00000013157	ENSDARG00000018162	ctnnal1	ENSPKIP00000002995	ENSPKIG00000020665	ctnnal1
ENSDARP00000084633	ENSDARG00000062382	snapin	ENSPKIP00000032736	ENSPKIG00000012708	snapin
ENSDARP00000128060	ENSDARG00000056551	slc22a13a	ENSPKIP00000035535	ENSPKIG00000014445	slc22a13a
ENSDARP00000058255	ENSDARG00000039828	zp3b	ENSPKIP00000015353	ENSPKIG00000002086	
ENSDARP00000073908	ENSDARG00000056874	lygl1	ENSPKIP00000035791	ENSPKIG00000014607	zgc:162941
ENSDARP00000123743	ENSDARG00000078034	zgc:112001	ENSPKIP00000007031	ENSPKIG00000023079	zgc:112001
ENSDARP00000057618	ENSDARG00000039439	il22ra2	ENSPKIP00000010970	ENSPKIG00000025473	
ENSDARP00000098233	ENSDARG00000077314	mblac1	ENSPKIP00000013827	ENSPKIG00000001117	mblac1
ENSDARP00000072200	ENSDARG00000055383	hapstr1a	ENSPKIP00000042017	ENSPKIG00000018384	hapstr1a
ENSDARP00000084449	ENSDARG00000062335	nudt14	ENSPKIP00000000426	ENSPKIG00000019103	nudt14
ENSDARP00000121787	ENSDARG00000090797	fam222aa	ENSPKIP00000010149	ENSPKIG00000024978	FAM222A
ENSDARP00000068559	ENSDARG00000052242	aff2	ENSPKIP00000014545	ENSPKIG00000001556	aff2
ENSDARP00000132812	ENSDARG00000102221	hacd4	ENSPKIP00000012906	ENSPKIG00000000528	hacd4
ENSDARP00000114779	ENSDARG00000071458	si:dkey-121a11.3	ENSPKIP00000015645	ENSPKIG00000002291	si:dkey-121a11.3
ENSDARP00000130568	ENSDARG00000104691	cd79b	ENSPKIP00000008526	ENSPKIG00000023981	cd79b
ENSDARP00000112143	ENSDARG00000061314	ngrn	ENSPKIP00000034977	ENSPKIG00000014107	ngrn
ENSDARP00000122978	ENSDARG00000029841	tmprss9	ENSPKIP00000030303	ENSPKIG00000011197	
ENSDARP00000093497	ENSDARG00000053828	ubxn11	ENSPKIP00000005723	ENSPKIG00000022285	ubxn11
ENSDARP00000127256	ENSDARG00000076997	stxbp4	ENSPKIP00000029278	ENSPKIG00000010589	stxbp4
ENSDARP00000144166	ENSDARG00000061215	fam149b1	ENSPKIP00000012866	ENSPKIG00000000509	fam149b1
ENSDARP00000137006	ENSDARG00000020730	smpd4	ENSPKIP00000000094	ENSPKIG00000018865	smpd4
ENSDARP00000075886	ENSDARG00000058563	ubox5	ENSPKIP00000000329	ENSPKIG00000019036	ubox5
ENSDARP00000089414	ENSDARG00000068265	tomm5	ENSPKIP00000032905	ENSPKIG00000012824	tomm5
ENSDARP00000003389	ENSDARG00000001788	atp5po	ENSPKIP00000030208	ENSPKIG00000011154	atp5po
ENSDARP00000089411	ENSDARG00000068264	grhpra	ENSPKIP00000032684	ENSPKIG00000012671	grhpra
ENSDARP00000059226	ENSDARG00000051986	ndufs8a	ENSPKIP00000036651	ENSPKIG00000015131	ndufs8a
ENSDARP00000018811	ENSDARG00000014161	ercc4	ENSPKIP00000038711	ENSPKIG00000016373	ercc4
ENSDARP00000066293	ENSDARG00000045087	cdk5r1b	ENSPKIP00000013673	ENSPKIG00000001019	cdk5r1b
ENSDARP00000068869	ENSDARG00000052512	tsga10	ENSPKIP00000030097	ENSPKIG00000011073	tsga10
ENSDARP00000155756	ENSDARG00000005590	mtf2	ENSPKIP00000020030	ENSPKIG00000004962	mtf2
ENSDARP00000120915	ENSDARG00000067950	zcchc2	ENSPKIP00000014699	ENSPKIG00000001677	zcchc2
ENSDARP00000092617	ENSDARG00000058454	dynll1	ENSPKIP00000014316	ENSPKIG00000001421	dynll1
ENSDARP00000123820	ENSDARG00000074756	tfb2m	ENSPKIP00000023452	ENSPKIG00000007071	tfb2m
ENSDARP00000125711	ENSDARG00000071084	wipf1b	ENSPKIP00000007192	ENSPKIG00000023181	wipf1a
ENSDARP00000124413	ENSDARG00000058064	gjb1b	ENSPKIP00000001290	ENSPKIG00000019632	gjb1b
ENSDARP00000141005	ENSDARG00000099902	il17rc	ENSPKIP00000032175	ENSPKIG00000012369	
ENSDARP00000115589	ENSDARG00000074242	serbp1a	ENSPKIP00000000011	ENSPKIG00000018832	serbp1b
ENSDARP00000124794	ENSDARG00000059227	fabp1b.1	ENSPKIP00000000641	ENSPKIG00000019196	fabp1a
ENSDARP00000040189	ENSDARG00000033361	asl	ENSPKIP00000000456	ENSPKIG00000019088	asl
ENSDARP00000060744	ENSDARG00000041435	uba52	ENSPKIP00000021658	ENSPKIG00000005976	uba52
ENSDARP00000130314	ENSDARG00000102407	cep97	ENSPKIP00000021082	ENSPKIG00000005628	
ENSDARP00000116551	ENSDARG00000087107	cfap221	ENSPKIP00000036973	ENSPKIG00000015344	
ENSDARP00000124815	ENSDARG00000001939	b3gat3	ENSPKIP00000010131	ENSPKIG00000024966	b3gat3
ENSDARP00000129318	ENSDARG00000091932	si:ch73-25f10.6	ENSPKIP00000030640	ENSPKIG00000011425	si:ch73-25f10.6
ENSDARP00000038728	ENSDARG00000023160	snrnp40	ENSPKIP00000029490	ENSPKIG00000010709	snrnp40
ENSDARP00000107938	ENSDARG00000069373	crcp	ENSPKIP00000030698	ENSPKIG00000011467	crcp
ENSDARP00000122490	ENSDARG00000017115	kctd10	ENSPKIP00000010262	ENSPKIG00000025041	kctd10
ENSDARP00000119610	ENSDARG00000076074	dda1	ENSPKIP00000026423	ENSPKIG00000008923	dda1
ENSDARP00000116244	ENSDARG00000060884	nmur1a	ENSPKIP00000008477	ENSPKIG00000023945	NMUR1
ENSDARP00000013748	ENSDARG00000012306	syt13	ENSPKIP00000016549	ENSPKIG00000002827	SYT13
ENSDARP00000120776	ENSDARG00000091271	cenpt	ENSPKIP00000015322	ENSPKIG00000002084	
ENSDARP00000138497	ENSDARG00000090993	rnf4	ENSPKIP00000011553	ENSPKIG00000018588	RNF4
ENSDARP00000091739	ENSDARG00000069401	si:dkeyp-114g9.1	ENSPKIP00000035080	ENSPKIG00000014157	si:dkeyp-114g9.1
ENSDARP00000134501	ENSDARG00000100835	rgs13b	ENSPKIP00000011902	ENSPKIG00000018325	rgs13b
ENSDARP00000078265	ENSDARG00000059906	sdc4	ENSPKIP00000007164	ENSPKIG00000023174	sdc4
ENSDARP00000143162	ENSDARG00000012002	slc38a7	ENSPKIP00000016363	ENSPKIG00000002694	slc38a7
ENSDARP00000055536	ENSDARG00000038095	socs1a	ENSPKIP00000011544	ENSPKIG00000018580	socs1a
ENSDARP00000085782	ENSDARG00000062868	eea1	ENSPKIP00000010980	ENSPKIG00000025472	eea1
ENSDARP00000003051	ENSDARG00000007329	tbx16	ENSPKIP00000005728	ENSPKIG00000022241	tbx16
ENSDARP00000073973	ENSDARG00000001940	dnajc1	ENSPKIP00000022916	ENSPKIG00000006730	dnajc1
ENSDARP00000045134	ENSDARG00000033949	fbxo16	ENSPKIP00000018676	ENSPKIG00000004140	fbxo16
ENSDARP00000131601	ENSDARG00000105115	si:dkey-57c15.1	ENSPKIP00000009726	ENSPKIG00000024723	si:dkey-57c15.1
ENSDARP00000007227	ENSDARG00000016307	mrpl46	ENSPKIP00000035176	ENSPKIG00000014232	mrpl46
ENSDARP00000135083	ENSDARG00000103732	plp1a	ENSPKIP00000036143	ENSPKIG00000014799	PLP1
ENSDARP00000087373	ENSDARG00000063553	rlf	ENSPKIP00000013092	ENSPKIG00000000654	rlf
ENSDARP00000045055	ENSDARG00000030591	lrrc42	ENSPKIP00000028962	ENSPKIG00000010397	lrrc42
ENSDARP00000063716	ENSDARG00000043402	zgc:171480	ENSPKIP00000022947	ENSPKIG00000006753	zgc:171480
ENSDARP00000012858	ENSDARG00000015676	nmd3	ENSPKIP00000028227	ENSPKIG00000009928	nmd3
ENSDARP00000117381	ENSDARG00000075405	adck5	ENSPKIP00000016348	ENSPKIG00000002706	adck5
ENSDARP00000119225	ENSDARG00000071394	foxq2	ENSPKIP00000041959	ENSPKIG00000018304	foxq2
ENSDARP00000065823	ENSDARG00000044781	bace2	ENSPKIP00000032273	ENSPKIG00000012437	bace2
ENSDARP00000125731	ENSDARG00000056630	angptl5	ENSPKIP00000041139	ENSPKIG00000017808	
ENSDARP00000019360	ENSDARG00000005536	ubr7	ENSPKIP00000020813	ENSPKIG00000005459	UBR7
ENSDARP00000055617	ENSDARG00000063446	iba57	ENSPKIP00000021076	ENSPKIG00000005623	iba57
ENSDARP00000083972	ENSDARG00000062148	si:dkey-100n23.3	ENSPKIP00000032607	ENSPKIG00000012646	SENP7
ENSDARP00000050398	ENSDARG00000090912	npc2.1	ENSPKIP00000016007	ENSPKIG00000002513	npc2.1
ENSDARP00000067304	ENSDARG00000045785	rlig1	ENSPKIP00000008903	ENSPKIG00000024208	rlig1
ENSDARP00000117703	ENSDARG00000091859	si:ch73-233m11.2	ENSPKIP00000021944	ENSPKIG00000006053	si:ch73-233m11.2
ENSDARP00000024527	ENSDARG00000019222	mrpl24	ENSPKIP00000003920	ENSPKIG00000021226	mrpl24
ENSDARP00000007865	ENSDARG00000004497	tspan33a	ENSPKIP00000026204	ENSPKIG00000008773	tspan33a
ENSDARP00000073353	ENSDARG00000056407	irf8	ENSPKIP00000012540	ENSPKIG00000000299	irf8
ENSDARP00000106610	ENSDARG00000091678	ints12	ENSPKIP00000031646	ENSPKIG00000012046	ints12
ENSDARP00000002532	ENSDARG00000006603	csrp1a	ENSPKIP00000030226	ENSPKIG00000011163	csrp1a
ENSDARP00000117810	ENSDARG00000045790	kics2	ENSPKIP00000003538	ENSPKIG00000021002	kics2
ENSDARP00000101029	ENSDARG00000079241	wdr90	ENSPKIP00000022579	ENSPKIG00000006523	wdr90
ENSDARP00000145716	ENSDARG00000023903	atf2	ENSPKIP00000007126	ENSPKIG00000023136	atf2
ENSDARP00000128979	ENSDARG00000116676	pimr25	ENSPKIP00000033182	ENSPKIG00000012986	
