Eel Gene ID	Eel Protein ID	Eel Gene Name	Pka Gene ID	Pka Protein ID	Pka Gene Name
ENSEEEP00000004733	ENSEEEG00000002473	TECPR2	ENSPKIP00000026445	ENSPKIG00000008929	tecpr2
ENSEEEP00000035778	ENSEEEG00000017028	prlh2r	ENSPKIP00000006839	ENSPKIG00000022971	prlh2r
ENSEEEP00000046331	ENSEEEG00000021798	ORC2	ENSPKIP00000017950	ENSPKIG00000003680	orc2
ENSEEEP00000012421	ENSEEEG00000006234	EXOSC8	ENSPKIP00000007317	ENSPKIG00000023257	exosc8
ENSEEEP00000014870	ENSEEEG00000007403	TGFB2	ENSPKIP00000033076	ENSPKIG00000012907	tgfb2
ENSEEEP00000008751	ENSEEEG00000004532	DAGLB	ENSPKIP00000024436	ENSPKIG00000007674	daglb
ENSEEEP00000059722	ENSEEEG00000024829	si:cabz01093077.1	ENSPKIP00000032758	ENSPKIG00000012731	si:cabz01093077.1
ENSEEEP00000029359	ENSEEEG00000014047	KLHDC10	ENSPKIP00000023566	ENSPKIG00000007124	klhdc10
ENSEEEP00000045164	ENSEEEG00000021320	FAM110B	ENSPKIP00000028928	ENSPKIG00000010377	FAM110B
ENSEEEP00000024913	ENSEEEG00000012023	F10	ENSPKIP00000027810	ENSPKIG00000009705	f10
ENSEEEP00000045020	ENSEEEG00000021247	oscp1a	ENSPKIP00000018014	ENSPKIG00000003728	lsm10
ENSEEEP00000006451	ENSEEEG00000003413	CCR2	ENSPKIP00000032744	ENSPKIG00000012712	ccr2
ENSEEEP00000007499	ENSEEEG00000003920	SF3B5	ENSPKIP00000021793	ENSPKIG00000006057	sf3b5
ENSEEEP00000035601	ENSEEEG00000016951	SUFU	ENSPKIP00000026537	ENSPKIG00000008960	sufu
ENSEEEP00000045167	ENSEEEG00000021322	CYP7A1	ENSPKIP00000021171	ENSPKIG00000005680	cyp7a1
ENSEEEP00000034607	ENSEEEG00000016462	URB2	ENSPKIP00000021334	ENSPKIG00000005787	urb2
ENSEEEP00000007506	ENSEEEG00000003922	OPRM1	ENSPKIP00000021813	ENSPKIG00000006065	oprm1
ENSEEEP00000040185	ENSEEEG00000019060		ENSPKIP00000032202	ENSPKIG00000012387	RNF222
ENSEEEP00000059001	ENSEEEG00000024893	CASTOR2	ENSPKIP00000033032	ENSPKIG00000012878	castor2
ENSEEEP00000062098	ENSEEEG00000003414	COBL	ENSPKIP00000032600	ENSPKIG00000012618	cobl
ENSEEEP00000030169	ENSEEEG00000014464	SLF1	ENSPKIP00000031745	ENSPKIG00000012081	slf1
ENSEEEP00000031879	ENSEEEG00000015217	ripor2	ENSPKIP00000022660	ENSPKIG00000006575	ripor2
ENSEEEP00000014875	ENSEEEG00000007405	PREB	ENSPKIP00000008005	ENSPKIG00000023669	preb
ENSEEEP00000032932	ENSEEEG00000015677	si:ch211-59p23.1	ENSPKIP00000006189	ENSPKIG00000022568	si:ch211-59p23.1
ENSEEEP00000050408	ENSEEEG00000023705	RNF168	ENSPKIP00000036025	ENSPKIG00000014751	RNF168
ENSEEEP00000041313	ENSEEEG00000019534	gars1	ENSPKIP00000036240	ENSPKIG00000014863	gars1
ENSEEEP00000062533	ENSEEEG00000025243	LYSMD3	ENSPKIP00000021163	ENSPKIG00000005668	lysmd3
ENSEEEP00000041882	ENSEEEG00000019795	HS6ST2	ENSPKIP00000003701	ENSPKIG00000021099	hs6st2
ENSEEEP00000042308	ENSEEEG00000019981	cx35.4	ENSPKIP00000030550	ENSPKIG00000011373	gjb3
ENSEEEP00000014045	ENSEEEG00000006982	mxtx1	ENSPKIP00000025321	ENSPKIG00000008236	mxtx2
ENSEEEP00000059766	ENSEEEG00000007992	ITGAM	ENSPKIP00000024769	ENSPKIG00000007889	
ENSEEEP00000045168	ENSEEEG00000021323	TOX	ENSPKIP00000028103	ENSPKIG00000009875	tox
ENSEEEP00000062415	ENSEEEG00000027222	SNCB	ENSPKIP00000006163	ENSPKIG00000022552	sncb
ENSEEEP00000042305	ENSEEEG00000019979	cx34.4	ENSPKIP00000030537	ENSPKIG00000011362	gjb10
ENSEEEP00000046610	ENSEEEG00000021943	polr3g	ENSPKIP00000032760	ENSPKIG00000012724	
ENSEEEP00000013640	ENSEEEG00000006814	C8orf34	ENSPKIP00000023858	ENSPKIG00000007285	zgc:162928
ENSEEEP00000057418	ENSEEEG00000025644	efnb3a	ENSPKIP00000013504	ENSPKIG00000000923	efnb3b
ENSEEEP00000061362	ENSEEEG00000027413	LIMD2	ENSPKIP00000039664	ENSPKIG00000016934	limd2
ENSEEEP00000045657	ENSEEEG00000021535	DENND11	ENSPKIP00000008362	ENSPKIG00000023887	dennd11
ENSEEEP00000004738	ENSEEEG00000002481	bmf1	ENSPKIP00000017006	ENSPKIG00000003103	
ENSEEEP00000034201	ENSEEEG00000016290	PRELID3A	ENSPKIP00000037274	ENSPKIG00000015520	prelid3a
ENSEEEP00000007510	ENSEEEG00000003925	RGS17	ENSPKIP00000021842	ENSPKIG00000006080	rgs17
ENSEEEP00000008615	ENSEEEG00000004464	RCC1L	ENSPKIP00000033075	ENSPKIG00000012917	rcc1l
ENSEEEP00000045171	ENSEEEG00000021324	CA8	ENSPKIP00000027956	ENSPKIG00000009787	ca8
ENSEEEP00000035822	ENSEEEG00000017032	IVD	ENSPKIP00000006726	ENSPKIG00000022883	ivd
ENSEEEP00000013712	ENSEEEG00000006838	shisa2a	ENSPKIP00000033218	ENSPKIG00000013013	shisa2a
ENSEEEP00000046607	ENSEEEG00000021942	MBLAC2	ENSPKIP00000032790	ENSPKIG00000012746	mblac2
ENSEEEP00000012390	ENSEEEG00000006226	ALG5	ENSPKIP00000007349	ENSPKIG00000023274	alg5
ENSEEEP00000014040	ENSEEEG00000006981	KLHDC3	ENSPKIP00000007174	ENSPKIG00000023175	klhdc3
ENSEEEP00000016879	ENSEEEG00000008367	IL6R	ENSPKIP00000020003	ENSPKIG00000004910	
ENSEEEP00000022528	ENSEEEG00000010928	cygb2	ENSPKIP00000024475	ENSPKIG00000007709	cygb2
ENSEEEP00000020059	ENSEEEG00000009506	ptcd3	ENSPKIP00000021039	ENSPKIG00000005592	ptcd3
ENSEEEP00000022534	ENSEEEG00000010939	SPHK1	ENSPKIP00000024333	ENSPKIG00000007627	sphk1
ENSEEEP00000016868	ENSEEEG00000008357	PAK1IP1	ENSPKIP00000025028	ENSPKIG00000008048	pak1ip1
ENSEEEP00000033844	ENSEEEG00000016115	UQCR11	ENSPKIP00000011444	ENSPKIG00000018517	UQCR11
ENSEEEP00000034198	ENSEEEG00000016286	TBC1D31	ENSPKIP00000011705	ENSPKIG00000018687	tbc1d31
ENSEEEP00000014039	ENSEEEG00000006980	npas4l	ENSPKIP00000007138	ENSPKIG00000023152	npas4l
ENSEEEP00000050403	ENSEEEG00000023703	si:ch211-156b7.4	ENSPKIP00000010699	ENSPKIG00000025318	si:ch211-156b7.4
ENSEEEP00000045691	ENSEEEG00000021540	WEE2	ENSPKIP00000008423	ENSPKIG00000023916	wee2
ENSEEEP00000042291	ENSEEEG00000019967	wdr43	ENSPKIP00000006804	ENSPKIG00000022935	wdr43
ENSEEEP00000050402	ENSEEEG00000023702	cbln18	ENSPKIP00000026430	ENSPKIG00000008925	cbln18
ENSEEEP00000045178	ENSEEEG00000021325	RAB2A	ENSPKIP00000021328	ENSPKIG00000005764	rab2a
ENSEEEP00000061461	ENSEEEG00000012593	IFT80	ENSPKIP00000027560	ENSPKIG00000009568	ift80
ENSEEEP00000014248	ENSEEEG00000006856	zp2l2	ENSPKIP00000041772	ENSPKIG00000018176	
ENSEEEP00000008619	ENSEEEG00000004471	NCF1	ENSPKIP00000033150	ENSPKIG00000012970	ncf1
ENSEEEP00000056822	ENSEEEG00000001581	HBB	ENSPKIP00000004625	ENSPKIG00000021654	hbba1
ENSEEEP00000010460	ENSEEEG00000005238	SCPEP1	ENSPKIP00000025748	ENSPKIG00000008480	scpep1
ENSEEEP00000050400	ENSEEEG00000023700	trim8b	ENSPKIP00000013289	ENSPKIG00000000776	
ENSEEEP00000041322	ENSEEEG00000019557	SPAG6	ENSPKIP00000029768	ENSPKIG00000010880	spag6
ENSEEEP00000062467	ENSEEEG00000025408	mbd3a	ENSPKIP00000011524	ENSPKIG00000018562	mbd3a
ENSEEEP00000063989	ENSEEEG00000025627	UBE2O	ENSPKIP00000024252	ENSPKIG00000007569	UBE2O
ENSEEEP00000061268	ENSEEEG00000027037	cfap410	ENSPKIP00000028826	ENSPKIG00000010319	cfap410
ENSEEEP00000041873	ENSEEEG00000019792	GPC3	ENSPKIP00000003768	ENSPKIG00000021129	gpc3
ENSEEEP00000050399	ENSEEEG00000023699	nudt8	ENSPKIP00000013265	ENSPKIG00000000764	nudt8
ENSEEEP00000036585	ENSEEEG00000016979	ube2d3	ENSPKIP00000038804	ENSPKIG00000016413	UBE2D3
ENSEEEP00000039617	ENSEEEG00000018801	HAT1	ENSPKIP00000042009	ENSPKIG00000018808	hat1
ENSEEEP00000020180	ENSEEEG00000009856	C17orf75	ENSPKIP00000021746	ENSPKIG00000006019	zgc:153240
ENSEEEP00000030049	ENSEEEG00000014399	fam81b	ENSPKIP00000031341	ENSPKIG00000011858	fam81b
ENSEEEP00000008622	ENSEEEG00000004474	polr2j	ENSPKIP00000033221	ENSPKIG00000013014	
ENSEEEP00000064603	ENSEEEG00000027857	CSPG4	ENSPKIP00000040240	ENSPKIG00000017283	
ENSEEEP00000005017	ENSEEEG00000002610	adrb2a	ENSPKIP00000022677	ENSPKIG00000006595	ADRB2
ENSEEEP00000051557	ENSEEEG00000024208	HTATIP2	ENSPKIP00000006607	ENSPKIG00000022813	htatip2
ENSEEEP00000016917	ENSEEEG00000008386	zgc:172339	ENSPKIP00000001728	ENSPKIG00000019902	si:dkey-85k7.10
ENSEEEP00000048043	ENSEEEG00000022637	si:dkey-25o16.4	ENSPKIP00000033844	ENSPKIG00000013381	si:dkey-25o16.4
ENSEEEP00000013700	ENSEEEG00000006833	LAS1L	ENSPKIP00000033081	ENSPKIG00000012906	las1l
ENSEEEP00000008626	ENSEEEG00000004476	ALKBH4	ENSPKIP00000033258	ENSPKIG00000013042	alkbh4
ENSEEEP00000024923	ENSEEEG00000012085		ENSPKIP00000027770	ENSPKIG00000009688	
ENSEEEP00000033339	ENSEEEG00000015150	ETFA	ENSPKIP00000025683	ENSPKIG00000008451	etfa
ENSEEEP00000008631	ENSEEEG00000004478	LRWD1	ENSPKIP00000033294	ENSPKIG00000013065	lrwd1
ENSEEEP00000052796	ENSEEEG00000025115	ccdc160	ENSPKIP00000003817	ENSPKIG00000021159	ccdc160
ENSEEEP00000022726	ENSEEEG00000010861	PSMC6	ENSPKIP00000005394	ENSPKIG00000022084	psmc6
ENSEEEP00000050396	ENSEEEG00000023693	si:ch1073-280e3.1	ENSPKIP00000013144	ENSPKIG00000000677	si:ch1073-280e3.1
ENSEEEP00000020178	ENSEEEG00000009852	RPS15A	ENSPKIP00000001621	ENSPKIG00000019847	rps15a
ENSEEEP00000048044	ENSEEEG00000022638	TRMO	ENSPKIP00000033995	ENSPKIG00000013505	trmo
ENSEEEP00000025784	ENSEEEG00000012498	LPCAT3	ENSPKIP00000026401	ENSPKIG00000008908	lpcat3
ENSEEEP00000041337	ENSEEEG00000019558	ctdspla	ENSPKIP00000036111	ENSPKIG00000014795	ctdsplb
ENSEEEP00000014033	ENSEEEG00000006972	mrpl2	ENSPKIP00000006973	ENSPKIG00000023043	mrpl2
ENSEEEP00000022974	ENSEEEG00000011150	CAAP1	ENSPKIP00000021894	ENSPKIG00000006115	CAAP1
ENSEEEP00000002750	ENSEEEG00000001580		ENSPKIP00000004639	ENSPKIG00000021665	si:ch211-5k11.8
ENSEEEP00000039598	ENSEEEG00000018800	dlx1a	ENSPKIP00000041974	ENSPKIG00000018771	dlx1a
ENSEEEP00000012778	ENSEEEG00000006412	ZFYVE27	ENSPKIP00000037812	ENSPKIG00000015847	zfyve27
ENSEEEP00000062786	ENSEEEG00000024899	aanat1	ENSPKIP00000024192	ENSPKIG00000007540	AANAT
ENSEEEP00000012360	ENSEEEG00000006221	RFXAP	ENSPKIP00000007427	ENSPKIG00000023321	rfxap
ENSEEEP00000039597	ENSEEEG00000018798	DLX2	ENSPKIP00000021326	ENSPKIG00000005783	dlx2b
ENSEEEP00000014024	ENSEEEG00000006971	L2HGDH	ENSPKIP00000016584	ENSPKIG00000002823	l2hgdh
ENSEEEP00000009159	ENSEEEG00000004711		ENSPKIP00000040723	ENSPKIG00000017576	
ENSEEEP00000012358	ENSEEEG00000006219	SERTM1	ENSPKIP00000007445	ENSPKIG00000023327	SERTM1
ENSEEEP00000053284	ENSEEEG00000002488	EIF2AK4	ENSPKIP00000016578	ENSPKIG00000002734	EIF2AK4
ENSEEEP00000024951	ENSEEEG00000012089	PCID2	ENSPKIP00000027725	ENSPKIG00000009646	pcid2
ENSEEEP00000030031	ENSEEEG00000014395	TTC37	ENSPKIP00000031154	ENSPKIG00000011621	skic3
ENSEEEP00000012356	ENSEEEG00000006207	CCNA1	ENSPKIP00000007460	ENSPKIG00000023339	ccna1
ENSEEEP00000041866	ENSEEEG00000019790	PHF6	ENSPKIP00000003877	ENSPKIG00000021203	phf6
ENSEEEP00000012889	ENSEEEG00000006479	akap9	ENSPKIP00000040775	ENSPKIG00000017609	
ENSEEEP00000007930	ENSEEEG00000004142	RUNDC3B	ENSPKIP00000012230	ENSPKIG00000000093	rundc3b
ENSEEEP00000045694	ENSEEEG00000021547	bida	ENSPKIP00000040899	ENSPKIG00000017685	
ENSEEEP00000052516	ENSEEEG00000024599	CNIH4	ENSPKIP00000012076	ENSPKIG00000025684	cnih4
ENSEEEP00000043601	ENSEEEG00000020610	gatc	ENSPKIP00000009959	ENSPKIG00000024856	GATC
ENSEEEP00000035835	ENSEEEG00000017056	ITPKA	ENSPKIP00000006693	ENSPKIG00000022868	itpka
ENSEEEP00000034181	ENSEEEG00000016267	ZFAT	ENSPKIP00000004135	ENSPKIG00000021355	zfat
ENSEEEP00000030881	ENSEEEG00000014778	TMEM9	ENSPKIP00000033329	ENSPKIG00000013090	tmem9b
ENSEEEP00000025802	ENSEEEG00000012502	tpi1b	ENSPKIP00000026313	ENSPKIG00000008843	tpi1b
ENSEEEP00000062505	ENSEEEG00000028976	BCL2L13	ENSPKIP00000040867	ENSPKIG00000017671	bcl2l13
ENSEEEP00000045463	ENSEEEG00000021457	tmc5	ENSPKIP00000028587	ENSPKIG00000010157	tmc5
ENSEEEP00000033838	ENSEEEG00000016110	CPA6	ENSPKIP00000024018	ENSPKIG00000007430	cpa6
ENSEEEP00000046553	ENSEEEG00000021905	TMEM161B	ENSPKIP00000021536	ENSPKIG00000005884	tmem161b
ENSEEEP00000007940	ENSEEEG00000004143	SLC25A40	ENSPKIP00000012267	ENSPKIG00000000115	slc25a40
ENSEEEP00000042750	ENSEEEG00000019946	PARN	ENSPKIP00000006629	ENSPKIG00000022807	parn
ENSEEEP00000008649	ENSEEEG00000004484	BCKDK	ENSPKIP00000033342	ENSPKIG00000013099	bckdk
ENSEEEP00000045705	ENSEEEG00000021551	ASZ1	ENSPKIP00000011098	ENSPKIG00000025541	asz1
ENSEEEP00000010428	ENSEEEG00000004639	cyp11c1	ENSPKIP00000030115	ENSPKIG00000011095	cyp11c1
ENSEEEP00000022337	ENSEEEG00000010840	CGRRF1	ENSPKIP00000005205	ENSPKIG00000021984	cgrrf1
ENSEEEP00000012861	ENSEEEG00000006455		ENSPKIP00000030577	ENSPKIG00000011341	
ENSEEEP00000035082	ENSEEEG00000016683	cyp51	ENSPKIP00000040826	ENSPKIG00000017630	cyp51
ENSEEEP00000025806	ENSEEEG00000012507	LENG8	ENSPKIP00000031710	ENSPKIG00000012086	leng8
ENSEEEP00000030759	ENSEEEG00000014715	HAPLN2	ENSPKIP00000029026	ENSPKIG00000010436	hapln2
ENSEEEP00000055925	ENSEEEG00000024670		ENSPKIP00000027485	ENSPKIG00000009533	
ENSEEEP00000051574	ENSEEEG00000024218	CSRP3	ENSPKIP00000007383	ENSPKIG00000023291	csrp3
ENSEEEP00000043589	ENSEEEG00000020600	pxmp2	ENSPKIP00000009923	ENSPKIG00000024833	pxmp2
ENSEEEP00000031653	ENSEEEG00000015093	STMN2	ENSPKIP00000011477	ENSPKIG00000018549	STMN2
ENSEEEP00000052514	ENSEEEG00000024597	RSPO3	ENSPKIP00000001967	ENSPKIG00000020046	rspo3
ENSEEEP00000026058	ENSEEEG00000012620	si:dkeyp-97b10.3	ENSPKIP00000027449	ENSPKIG00000009505	si:dkeyp-97b10.3
ENSEEEP00000018396	ENSEEEG00000009034	MCPH1	ENSPKIP00000037208	ENSPKIG00000015473	mcph1
ENSEEEP00000007945	ENSEEEG00000004145	dbf4	ENSPKIP00000012281	ENSPKIG00000000131	dbf4
ENSEEEP00000043581	ENSEEEG00000020592	USP30	ENSPKIP00000010374	ENSPKIG00000025113	usp30
ENSEEEP00000032069	ENSEEEG00000015295	MELTF	ENSPKIP00000032002	ENSPKIG00000012270	meltf
ENSEEEP00000010326	ENSEEEG00000005233	COIL	ENSPKIP00000025834	ENSPKIG00000008553	
ENSEEEP00000041769	ENSEEEG00000019753	STK16	ENSPKIP00000015256	ENSPKIG00000002035	stk16
ENSEEEP00000002717	ENSEEEG00000001387	NPRL3	ENSPKIP00000003449	ENSPKIG00000020940	nprl3
ENSEEEP00000051943	ENSEEEG00000024372	fam122b	ENSPKIP00000009708	ENSPKIG00000024715	pabir2
ENSEEEP00000052513	ENSEEEG00000024596	CENPW	ENSPKIP00000001944	ENSPKIG00000020036	
ENSEEEP00000025809	ENSEEEG00000012510	si:dkey-26c10.5	ENSPKIP00000010256	ENSPKIG00000025039	si:dkey-26c10.5
ENSEEEP00000007350	ENSEEEG00000003842	ACOX1	ENSPKIP00000023995	ENSPKIG00000007125	acox1
ENSEEEP00000056307	ENSEEEG00000026595	AGPAT5	ENSPKIP00000037313	ENSPKIG00000015542	agpat5
ENSEEEP00000042270	ENSEEEG00000019965	TRMT61B	ENSPKIP00000006847	ENSPKIG00000022965	trmt61b
ENSEEEP00000041768	ENSEEEG00000019752	mnx2b	ENSPKIP00000015311	ENSPKIG00000002066	mnx2a
ENSEEEP00000052512	ENSEEEG00000024594	TRMT11	ENSPKIP00000033007	ENSPKIG00000012868	trmt11
ENSEEEP00000051945	ENSEEEG00000024375	MOSPD1	ENSPKIP00000003991	ENSPKIG00000021269	mospd1
ENSEEEP00000057871	ENSEEEG00000012624	schip1	ENSPKIP00000027323	ENSPKIG00000009436	schip1
ENSEEEP00000042265	ENSEEEG00000019962	SPDYA	ENSPKIP00000037871	ENSPKIG00000015895	spdya
ENSEEEP00000045927	ENSEEEG00000021624	aipl2	ENSPKIP00000013988	ENSPKIG00000001206	aipl2
ENSEEEP00000055643	ENSEEEG00000022642	USO1	ENSPKIP00000034446	ENSPKIG00000013731	uso1
ENSEEEP00000029257	ENSEEEG00000014023	SYTL1	ENSPKIP00000005434	ENSPKIG00000022115	sytl1
ENSEEEP00000011498	ENSEEEG00000005803	SLC6A7	ENSPKIP00000036769	ENSPKIG00000015197	slc6a7
ENSEEEP00000034745	ENSEEEG00000016513	WDR59	ENSPKIP00000022094	ENSPKIG00000006208	wdr59
ENSEEEP00000018383	ENSEEEG00000009026	Gsta3	ENSPKIP00000037343	ENSPKIG00000015561	
ENSEEEP00000055134	ENSEEEG00000025403	ORAI2	ENSPKIP00000033389	ENSPKIG00000013121	orai2
ENSEEEP00000052508	ENSEEEG00000024592	HINT3	ENSPKIP00000033067	ENSPKIG00000012913	hint3
ENSEEEP00000026089	ENSEEEG00000012522	trpv6	ENSPKIP00000010227	ENSPKIG00000025030	trpv6
ENSEEEP00000008727	ENSEEEG00000004526	PEX12	ENSPKIP00000033428	ENSPKIG00000013143	pex12
ENSEEEP00000044441	ENSEEEG00000027369	kcnk3b	ENSPKIP00000003557	ENSPKIG00000021013	kcnk3a
ENSEEEP00000032056	ENSEEEG00000015284	LRRC40	ENSPKIP00000004421	ENSPKIG00000021522	lrrc40
ENSEEEP00000046493	ENSEEEG00000021903	CCNH	ENSPKIP00000015012	ENSPKIG00000001858	ccnh
ENSEEEP00000018380	ENSEEEG00000009024	POLH	ENSPKIP00000003908	ENSPKIG00000021220	polh
ENSEEEP00000034753	ENSEEEG00000016518	NOB1	ENSPKIP00000002395	ENSPKIG00000020293	nob1
ENSEEEP00000034145	ENSEEEG00000016258	RBFA	ENSPKIP00000004082	ENSPKIG00000021329	rbfa
ENSEEEP00000038490	ENSEEEG00000018275	hnrnpabb	ENSPKIP00000000125	ENSPKIG00000018904	HNRNPAB
ENSEEEP00000064625	ENSEEEG00000000959	EXOC4	ENSPKIP00000021200	ENSPKIG00000005678	exoc4
ENSEEEP00000045450	ENSEEEG00000021407	PIGQ	ENSPKIP00000001423	ENSPKIG00000019710	pigq
ENSEEEP00000047843	ENSEEEG00000022517	marc1	ENSPKIP00000038587	ENSPKIG00000016301	MTARC2
ENSEEEP00000045720	ENSEEEG00000021553	CTTNBP2	ENSPKIP00000011090	ENSPKIG00000025537	cttnbp2
ENSEEEP00000014000	ENSEEEG00000006963	CNIH1	ENSPKIP00000033894	ENSPKIG00000013438	cnih1
ENSEEEP00000005062	ENSEEEG00000002635	frg1	ENSPKIP00000008871	ENSPKIG00000024189	frg1
ENSEEEP00000050752	ENSEEEG00000023840	MKLN1	ENSPKIP00000021421	ENSPKIG00000005833	mkln1
ENSEEEP00000029262	ENSEEEG00000014024	zgc:110239	ENSPKIP00000005497	ENSPKIG00000022146	zgc:110239
ENSEEEP00000049790	ENSEEEG00000023397	GCK	ENSPKIP00000000446	ENSPKIG00000019104	gck
ENSEEEP00000041648	ENSEEEG00000019658	atic	ENSPKIP00000015478	ENSPKIG00000002172	atic
ENSEEEP00000034756	ENSEEEG00000016523	cog8	ENSPKIP00000002421	ENSPKIG00000020319	cog8
ENSEEEP00000026674	ENSEEEG00000012888		ENSPKIP00000005732	ENSPKIG00000022282	
ENSEEEP00000055522	ENSEEEG00000025125	CLDN12	ENSPKIP00000012566	ENSPKIG00000000315	cldn12
ENSEEEP00000042257	ENSEEEG00000019959	STAC	ENSPKIP00000012799	ENSPKIG00000000478	stac
ENSEEEP00000005231	ENSEEEG00000002736	ccsapb	ENSPKIP00000021213	ENSPKIG00000005706	ccsapb
ENSEEEP00000059594	ENSEEEG00000028166	NIP7	ENSPKIP00000002458	ENSPKIG00000020345	nip7
ENSEEEP00000005229	ENSEEEG00000002685	RAB4A	ENSPKIP00000021150	ENSPKIG00000005672	rab4a
ENSEEEP00000034771	ENSEEEG00000016528	ZDHHC7	ENSPKIP00000002514	ENSPKIG00000020376	zdhhc7
ENSEEEP00000060640	ENSEEEG00000028152	GMFB	ENSPKIP00000015435	ENSPKIG00000002165	gmfb
ENSEEEP00000038477	ENSEEEG00000018271	MAT2B	ENSPKIP00000042019	ENSPKIG00000018369	mat2b
ENSEEEP00000029999	ENSEEEG00000014315	NOL6	ENSPKIP00000030639	ENSPKIG00000011418	nol6
ENSEEEP00000057282	ENSEEEG00000028547	SP7	ENSPKIP00000040744	ENSPKIG00000017587	
ENSEEEP00000030702	ENSEEEG00000014696	ISG20L2	ENSPKIP00000029202	ENSPKIG00000010547	ISG20L2
ENSEEEP00000034773	ENSEEEG00000016537	RGS9BP	ENSPKIP00000008289	ENSPKIG00000023851	si:ch73-167i17.6
ENSEEEP00000007997	ENSEEEG00000004162	WASHC5	ENSPKIP00000036943	ENSPKIG00000015294	washc5
ENSEEEP00000013996	ENSEEEG00000006961	lgals3a	ENSPKIP00000015395	ENSPKIG00000002138	lgals3a
ENSEEEP00000036604	ENSEEEG00000017381	MANBA	ENSPKIP00000038965	ENSPKIG00000016493	manba
ENSEEEP00000002283	ENSEEEG00000001370	tlx3b	ENSPKIP00000008431	ENSPKIG00000023925	tlx3b
ENSEEEP00000030694	ENSEEEG00000014692	rrnad1	ENSPKIP00000029251	ENSPKIG00000010567	mettl25b
ENSEEEP00000056800	ENSEEEG00000027391	MMGT1	ENSPKIP00000004071	ENSPKIG00000021318	
ENSEEEP00000034964	ENSEEEG00000016546	PDPR	ENSPKIP00000002140	ENSPKIG00000020136	pdpr
ENSEEEP00000038474	ENSEEEG00000018270	zgc:165573	ENSPKIP00000021333	ENSPKIG00000005788	
ENSEEEP00000005143	ENSEEEG00000002681	rhoua	ENSPKIP00000021092	ENSPKIG00000005635	rhoua
ENSEEEP00000035084	ENSEEEG00000016686	NUP42	ENSPKIP00000005905	ENSPKIG00000022387	nup42
ENSEEEP00000013795	ENSEEEG00000006865		ENSPKIP00000005049	ENSPKIG00000021887	
ENSEEEP00000002287	ENSEEEG00000001373	npm1a	ENSPKIP00000008462	ENSPKIG00000023943	npm1a
ENSEEEP00000042252	ENSEEEG00000019958	MTFR1L	ENSPKIP00000012954	ENSPKIG00000000553	mtfr1l
ENSEEEP00000051590	ENSEEEG00000024223	IMMP1L	ENSPKIP00000007686	ENSPKIG00000023482	immp1l
ENSEEEP00000062775	ENSEEEG00000025669	rpl15	ENSPKIP00000028046	ENSPKIG00000009854	rpl15
ENSEEEP00000005136	ENSEEEG00000002677	PDCD2	ENSPKIP00000025040	ENSPKIG00000008058	pdcd2
ENSEEEP00000002294	ENSEEEG00000001376	kcnip1b	ENSPKIP00000008518	ENSPKIG00000023974	kcnip1b
ENSEEEP00000056283	ENSEEEG00000011831	SPATA20	ENSPKIP00000004218	ENSPKIG00000021415	spata20
ENSEEEP00000046074	ENSEEEG00000021664	TAF7	ENSPKIP00000014046	ENSPKIG00000001246	taf7
ENSEEEP00000013994	ENSEEEG00000006960	SYNJ2BP	ENSPKIP00000015365	ENSPKIG00000002119	synj2bp
ENSEEEP00000005112	ENSEEEG00000002646	TBP	ENSPKIP00000025072	ENSPKIG00000008077	tbp
ENSEEEP00000012835	ENSEEEG00000006428	golga7ba	ENSPKIP00000037720	ENSPKIG00000015794	golga7ba
ENSEEEP00000048467	ENSEEEG00000022812	NKIRAS1	ENSPKIP00000028026	ENSPKIG00000009837	nkiras1
ENSEEEP00000050757	ENSEEEG00000023847	PODXL	ENSPKIP00000021355	ENSPKIG00000005801	
ENSEEEP00000005069	ENSEEEG00000002641	IMPA1	ENSPKIP00000019674	ENSPKIG00000004744	zgc:153169
ENSEEEP00000003573	ENSEEEG00000001896	casp3a	ENSPKIP00000007657	ENSPKIG00000023466	casp3a
ENSEEEP00000031549	ENSEEEG00000015092	HEY1	ENSPKIP00000011447	ENSPKIG00000018533	hey1
ENSEEEP00000029274	ENSEEEG00000014026	PSMB4	ENSPKIP00000009921	ENSPKIG00000024828	psmb4
ENSEEEP00000059478	ENSEEEG00000024228	ELP4	ENSPKIP00000007612	ENSPKIG00000023421	elp4
ENSEEEP00000014892	ENSEEEG00000007414	UBE2E1	ENSPKIP00000029162	ENSPKIG00000010516	
ENSEEEP00000013991	ENSEEEG00000006957	srsf5a	ENSPKIP00000015296	ENSPKIG00000002054	srsf5a
ENSEEEP00000035184	ENSEEEG00000016694	TERT	ENSPKIP00000005810	ENSPKIG00000022342	tert
ENSEEEP00000042249	ENSEEEG00000019955	selenon	ENSPKIP00000013004	ENSPKIG00000000584	selenon
ENSEEEP00000047816	ENSEEEG00000022508	SUSD4	ENSPKIP00000015986	ENSPKIG00000002487	susd4
ENSEEEP00000007386	ENSEEEG00000003873	ten1	ENSPKIP00000023299	ENSPKIG00000006975	ten1
ENSEEEP00000029284	ENSEEEG00000014032	pogza	ENSPKIP00000009898	ENSPKIG00000024815	
ENSEEEP00000005041	ENSEEEG00000002621	rab1aa	ENSPKIP00000019635	ENSPKIG00000004714	rab1ab
