Hsa Gene ID	Hsa Protein ID	Hsa Gene Name	Pka Gene ID	Pka Protein ID	Pka Gene Name
ENSP00000777182	ENSG00000105894	PTN	ENSPKIP00000017654	ENSPKIG00000003476	ptn
ENSP00000442259	ENSG00000101327	PDYN	ENSPKIP00000031016	ENSPKIG00000011685	pdyn
ENSP00000731760	ENSG00000147403	RPL10	ENSPKIP00000022321	ENSPKIG00000006371	rpl10
ENSP00000328423	ENSG00000183324	REC114	ENSPKIP00000000936	ENSPKIG00000019414	rec114
ENSP00000787089	ENSG00000239857	GET4	ENSPKIP00000017479	ENSPKIG00000003369	get4
ENSP00000247178	ENSG00000126775	ATG14	ENSPKIP00000013891	ENSPKIG00000001142	atg14
ENSP00000267838	ENSG00000140280	LYSMD2	ENSPKIP00000003934	ENSPKIG00000021230	lysmd2
ENSP00000307423	ENSG00000168282	MGAT2	ENSPKIP00000007748	ENSPKIG00000023527	mgat2
ENSP00000477507	ENSG00000170468	RIOX1	ENSPKIP00000004355	ENSPKIG00000021498	riox1
ENSP00000385184	ENSG00000130204	TOMM40	ENSPKIP00000009044	ENSPKIG00000024296	tomm40
ENSP00000521386	ENSG00000013523	ANGEL1	ENSPKIP00000017453	ENSPKIG00000003362	angel1
ENSP00000355402	ENSG00000167178	ISLR2	ENSPKIP00000034594	ENSPKIG00000013860	islr2
ENSP00000244061	ENSG00000124226	RNF114	ENSPKIP00000021105	ENSPKIG00000005611	rnf114
ENSP00000564370	ENSG00000102967	DHODH	ENSPKIP00000008404	ENSPKIG00000023908	dhodh
ENSP00000419162	ENSG00000187260	WDR86	ENSPKIP00000034945	ENSPKIG00000014071	WDR86
ENSP00000728616	ENSG00000213741	RPS29	ENSPKIP00000007694	ENSPKIG00000023490	
ENSP00000309096	ENSG00000174684	B4GAT1	ENSPKIP00000039067	ENSPKIG00000016586	b4gat1
ENSP00000371152	ENSG00000104763	ASAH1	ENSPKIP00000008921	ENSPKIG00000024215	asah1b
ENSP00000482145	ENSG00000182704	TSKU	ENSPKIP00000021548	ENSPKIG00000005903	tsku
ENSP00000367104	ENSG00000125864	BFSP1	ENSPKIP00000019455	ENSPKIG00000004624	BFSP1
ENSP00000507574	ENSG00000009830	POMT2	ENSPKIP00000017935	ENSPKIG00000003634	pomt2
ENSP00000007390	ENSG00000007520	TSR3	ENSPKIP00000023236	ENSPKIG00000006943	tsr3
ENSP00000623380	ENSG00000164970	FAM219A	ENSPKIP00000030221	ENSPKIG00000011159	FAM219A
ENSP00000629062	ENSG00000101019	UQCC1	ENSPKIP00000007261	ENSPKIG00000023227	uqcc1
ENSP00000318900	ENSG00000112320	SOBP	ENSPKIP00000012465	ENSPKIG00000000247	sobpa
ENSP00000287097	ENSG00000156535	CD109	ENSPKIP00000001312	ENSPKIG00000019647	CD109
ENSP00000626138	ENSG00000156502	SUPV3L1	ENSPKIP00000035593	ENSPKIG00000014484	supv3l1
ENSP00000327608	ENSG00000185761	ADAMTSL5	ENSPKIP00000039097	ENSPKIG00000016593	adamtsl5
ENSP00000616126	ENSG00000103245	CIAO3	ENSPKIP00000014995	ENSPKIG00000001845	narfl
ENSP00000800173	ENSG00000181704	YIPF6	ENSPKIP00000001575	ENSPKIG00000019819	yipf6
ENSP00000411932	ENSG00000170807	LMOD2	ENSPKIP00000037492	ENSPKIG00000015654	lmod2b
ENSP00000410818	ENSG00000124688	MAD2L1BP	ENSPKIP00000003782	ENSPKIG00000021139	mad2l1bp
ENSP00000374552	ENSG00000011275	RNF216	ENSPKIP00000029178	ENSPKIG00000010505	rnf216
ENSP00000557976	ENSG00000008838	MED24	ENSPKIP00000004253	ENSPKIG00000021411	med24
ENSP00000357651	ENSG00000074935	TUBE1	ENSPKIP00000000533	ENSPKIG00000019145	TUBE1
ENSP00000310110	ENSG00000125355	TMEM255A	ENSPKIP00000034526	ENSPKIG00000013817	TMEM255A
ENSP00000521078	ENSG00000071677	PRLH	ENSPKIP00000039832	ENSPKIG00000017044	prlh2
ENSP00000766364	ENSG00000166847	DCTN5	ENSPKIP00000033311	ENSPKIG00000013072	dctn5
ENSP00000512398	ENSG00000152430	BOLL	ENSPKIP00000012946	ENSPKIG00000000551	BOLL
ENSP00000381693	ENSG00000214655	ZSWIM8	ENSPKIP00000026255	ENSPKIG00000008737	zswim8
ENSP00000617092	ENSG00000162004	CCDC78	ENSPKIP00000024589	ENSPKIG00000007785	ccdc78
ENSP00000419867	ENSG00000196990	FAM163B	ENSPKIP00000004032	ENSPKIG00000021301	fam163ba
ENSP00000359532	ENSG00000101188	NTSR1	ENSPKIP00000022073	ENSPKIG00000006216	NTSR1
ENSP00000622346	ENSG00000090097	PCBP4	ENSPKIP00000020847	ENSPKIG00000005487	pcbp4
ENSP00000372023	ENSG00000183765	CHEK2	ENSPKIP00000032063	ENSPKIG00000012294	chek2
ENSP00000763362	ENSG00000244187	TMEM141	ENSPKIP00000040863	ENSPKIG00000017663	tmem141
ENSP00000335557	ENSG00000149346	SLX4IP	ENSPKIP00000009087	ENSPKIG00000024328	SLX4IP
ENSP00000367445	ENSG00000152464	RPP38	ENSPKIP00000012080	ENSPKIG00000025652	rpp38
ENSP00000535450	ENSG00000092108	SCFD1	ENSPKIP00000000897	ENSPKIG00000019355	scfd1
ENSP00000055682	ENSG00000050030	NEXMIF	ENSPKIP00000005845	ENSPKIG00000022363	nexmifb
ENSP00000765885	ENSG00000087088	BAX	ENSPKIP00000019240	ENSPKIG00000004489	BAX
ENSP00000400932	ENSG00000176273	SLC35G1	ENSPKIP00000020892	ENSPKIG00000005513	slc35g1
ENSP00000623183	ENSG00000101331	CCM2L	ENSPKIP00000001755	ENSPKIG00000019924	ccm2l
ENSP00000384796	ENSG00000185737	NRG3	ENSPKIP00000030261	ENSPKIG00000011188	
ENSP00000513371	ENSG00000132664	POLR3F	ENSPKIP00000019150	ENSPKIG00000004427	polr3f
ENSP00000317334	ENSG00000120438	TCP1	ENSPKIP00000006626	ENSPKIG00000022823	tcp1
ENSP00000532265	ENSG00000153774	CFDP1	ENSPKIP00000014419	ENSPKIG00000001495	
ENSP00000692932	ENSG00000078487	ZCWPW1	ENSPKIP00000004756	ENSPKIG00000021728	
ENSP00000297994	ENSG00000165275	TRMT10B	ENSPKIP00000037681	ENSPKIG00000015763	trmt10b
ENSP00000537468	ENSG00000140386	SCAPER	ENSPKIP00000015031	ENSPKIG00000001843	scaper
ENSP00000316861	ENSG00000046653	GPM6B	ENSPKIP00000002397	ENSPKIG00000020298	gpm6bb
ENSP00000574095	ENSG00000100982	PCIF1	ENSPKIP00000016875	ENSPKIG00000003011	pcif1
ENSP00000798960	ENSG00000197119	SLC25A29	ENSPKIP00000013324	ENSPKIG00000000803	SLC25A29
ENSP00000477817	ENSG00000158079	PTPDC1	ENSPKIP00000020033	ENSPKIG00000004965	ptpdc1a
ENSP00000392855	ENSG00000127564	PKMYT1	ENSPKIP00000036242	ENSPKIG00000014877	pkmyt1
ENSP00000456594	ENSG00000261115	TMEM178B	ENSPKIP00000034243	ENSPKIG00000013652	tmem178bb
ENSP00000485478	ENSG00000148600	CDHR1	ENSPKIP00000023398	ENSPKIG00000006998	cdhr1b
ENSP00000782159	ENSG00000100575	TIMM9	ENSPKIP00000037193	ENSPKIG00000015476	timm9
ENSP00000432039	ENSG00000173715	TOP6BL	ENSPKIP00000000197	ENSPKIG00000018930	
ENSP00000553330	ENSG00000198276	UCKL1	ENSPKIP00000020566	ENSPKIG00000005286	UCKL1
ENSP00000362361	ENSG00000136807	CDK9	ENSPKIP00000004073	ENSPKIG00000021317	cdk9
ENSP00000617553	ENSG00000172671	ZFAND4	ENSPKIP00000041264	ENSPKIG00000017848	zfand4
ENSP00000216471	ENSG00000100583	SAMD15	ENSPKIP00000015616	ENSPKIG00000002273	
ENSP00000368332	ENSG00000004848	ARX	ENSPKIP00000010327	ENSPKIG00000025084	ARX
ENSP00000302327	ENSG00000171016	PYGO1	ENSPKIP00000004943	ENSPKIG00000021833	pygo1
ENSP00000509693	ENSG00000102362	SYTL4	ENSPKIP00000019682	ENSPKIG00000004712	sytl4
ENSP00000468041	ENSG00000126247	CAPNS1	ENSPKIP00000021330	ENSPKIG00000005778	
ENSP00000536922	ENSG00000117899	MESD	ENSPKIP00000003578	ENSPKIG00000021023	mesd
ENSP00000598560	ENSG00000167118	URM1	ENSPKIP00000004295	ENSPKIG00000021455	URM1
ENSP00000594646	ENSG00000168438	CDC40	ENSPKIP00000033799	ENSPKIG00000013333	cdc40
ENSP00000744670	ENSG00000172775	PSME3IP1	ENSPKIP00000005340	ENSPKIG00000022049	psme3ip1
ENSP00000363593	ENSG00000165124	SVEP1	ENSPKIP00000037310	ENSPKIG00000015493	svep1
ENSP00000457624	ENSG00000138614	INTS14	ENSPKIP00000008885	ENSPKIG00000024198	ints14
ENSP00000391739	ENSG00000241878	PISD	ENSPKIP00000040125	ENSPKIG00000017188	PISD
ENSP00000358956	ENSG00000146243	IRAK1BP1	ENSPKIP00000008535	ENSPKIG00000023989	irak1bp1
ENSP00000319744	ENSG00000177464	GPR4	ENSPKIP00000020828	ENSPKIG00000005476	gpr4
ENSP00000565200	ENSG00000241127	YAE1	ENSPKIP00000040637	ENSPKIG00000017520	otulina
ENSP00000545711	ENSG00000071626	DAZAP1	ENSPKIP00000024476	ENSPKIG00000007696	dazap1
ENSP00000611676	ENSG00000142082	SIRT3	ENSPKIP00000016764	ENSPKIG00000002937	sirt3
ENSP00000273067	ENSG00000144583	MARCHF4	ENSPKIP00000028198	ENSPKIG00000009933	marchf4a
ENSP00000586265	ENSG00000124783	SSR1	ENSPKIP00000022370	ENSPKIG00000006401	ssr1
ENSP00000246080	ENSG00000125878	TCF15	ENSPKIP00000022923	ENSPKIG00000006747	tcf15
ENSP00000626913	ENSG00000165078	CPA6	ENSPKIP00000024018	ENSPKIG00000007430	cpa6
ENSP00000384629	ENSG00000183955	KMT5A	ENSPKIP00000014278	ENSPKIG00000001401	kmt5ab
ENSP00000369960	ENSG00000120907	ADRA1A	ENSPKIP00000008410	ENSPKIG00000023915	adra1aa
ENSP00000707728	ENSG00000186665	C17orf58	ENSPKIP00000022649	ENSPKIG00000006567	
ENSP00000627081	ENSG00000138587	MNS1	ENSPKIP00000040311	ENSPKIG00000017328	mns1
ENSP00000523948	ENSG00000102172	SMS	ENSPKIP00000032566	ENSPKIG00000012603	sms
ENSP00000480483	ENSG00000124785	NRN1	ENSPKIP00000029248	ENSPKIG00000010579	nrn1a
ENSP00000535321	ENSG00000165672	PRDX3	ENSPKIP00000000277	ENSPKIG00000019015	prdx3
ENSP00000514894	ENSG00000165282	PIGO	ENSPKIP00000031652	ENSPKIG00000012035	pigo
ENSP00000599729	ENSG00000198042	MAK16	ENSPKIP00000015318	ENSPKIG00000002082	mak16
ENSP00000503746	ENSG00000106636	YKT6	ENSPKIP00000014239	ENSPKIG00000001369	YKT6
ENSP00000529623	ENSG00000120509	PDZD11	ENSPKIP00000011679	ENSPKIG00000018662	pdzd11
ENSP00000637321	ENSG00000155975	VPS37A	ENSPKIP00000009340	ENSPKIG00000024474	vps37a
ENSP00000349957	ENSG00000141552	ANAPC11	ENSPKIP00000022111	ENSPKIG00000006250	anapc11
ENSP00000305459	ENSG00000213380	COG8	ENSPKIP00000002421	ENSPKIG00000020319	cog8
ENSP00000297273	ENSG00000127995	CASD1	ENSPKIP00000014270	ENSPKIG00000001368	casd1
ENSP00000401018	ENSG00000181938	GINS3	ENSPKIP00000037035	ENSPKIG00000015377	gins3
ENSP00000360210	ENSG00000124237	CIMIP1	ENSPKIP00000019646	ENSPKIG00000004726	
ENSP00000493946	ENSG00000103494	RPGRIP1L	ENSPKIP00000033066	ENSPKIG00000012908	rpgrip1
ENSP00000580300	ENSG00000185024	BRF1	ENSPKIP00000000233	ENSPKIG00000018964	brf1b
ENSP00000545503	ENSG00000129682	FGF13	ENSPKIP00000030473	ENSPKIG00000011314	
ENSP00000343490	ENSG00000188501	LCTL	ENSPKIP00000037630	ENSPKIG00000015716	lctlb
ENSP00000607088	ENSG00000123064	DDX54	ENSPKIP00000041946	ENSPKIG00000018272	ddx54
ENSP00000505952	ENSG00000131043	AAR2	ENSPKIP00000020704	ENSPKIG00000005382	aar2
ENSP00000427540	ENSG00000197620	EOLA1	ENSPKIP00000001497	ENSPKIG00000019772	
ENSP00000376071	ENSG00000138439	FAM117B	ENSPKIP00000026406	ENSPKIG00000008905	fam117ba
ENSP00000334540	ENSG00000187037	GPR141	ENSPKIP00000026071	ENSPKIG00000008690	gpr141
ENSP00000790901	ENSG00000137767	SQOR	ENSPKIP00000000482	ENSPKIG00000019110	sqor
ENSP00000297161	ENSG00000164619	BMPER	ENSPKIP00000001425	ENSPKIG00000019711	bmper
ENSP00000548414	ENSG00000114054	PCCB	ENSPKIP00000004099	ENSPKIG00000021332	pccb
ENSP00000499841	ENSG00000167619	TMEM145	ENSPKIP00000004053	ENSPKIG00000021311	tmem145
ENSP00000514151	ENSG00000107521	HPS1	ENSPKIP00000025512	ENSPKIG00000008360	hps1
ENSP00000643470	ENSG00000022267	FHL1	ENSPKIP00000004151	ENSPKIG00000021378	fhl1a
ENSP00000771641	ENSG00000181019	NQO1	ENSPKIP00000002708	ENSPKIG00000020494	NQO2
ENSP00000551495	ENSG00000101413	RPRD1B	ENSPKIP00000029032	ENSPKIG00000010430	RPRD1B
ENSP00000613096	ENSG00000135341	MAP3K7	ENSPKIP00000011637	ENSPKIG00000018594	map3k7
ENSP00000710426	ENSG00000070495	JMJD6	ENSPKIP00000026273	ENSPKIG00000008819	jmjd6
ENSP00000518558	ENSG00000149554	CHEK1	ENSPKIP00000038398	ENSPKIG00000016169	chek1
ENSP00000279027	ENSG00000158296	SLC13A3	ENSPKIP00000022674	ENSPKIG00000006565	slc13a3
ENSP00000261588	ENSG00000047578	KATNIP	ENSPKIP00000027580	ENSPKIG00000009584	
ENSP00000163416	ENSG00000066455	GOLGA5	ENSPKIP00000016168	ENSPKIG00000002616	golga5
ENSP00000523591	ENSG00000099800	TIMM13	ENSPKIP00000030231	ENSPKIG00000011170	timm13
ENSP00000549093	ENSG00000186193	SAPCD2	ENSPKIP00000040931	ENSPKIG00000017704	SAPCD2
ENSP00000245919	ENSG00000125740	FOSB	ENSPKIP00000030154	ENSPKIG00000011100	fosb
ENSP00000542719	ENSG00000050405	LIMA1	ENSPKIP00000021425	ENSPKIG00000005837	
ENSP00000378138	ENSG00000006042	TMEM98	ENSPKIP00000005618	ENSPKIG00000022218	tmem98
ENSP00000789739	ENSG00000173465	ZNRD2	ENSPKIP00000019396	ENSPKIG00000004583	znrd2
ENSP00000261435	ENSG00000078177	N4BP2	ENSPKIP00000020020	ENSPKIG00000004940	n4bp2
ENSP00000511806	ENSG00000168939	SPRY3	ENSPKIP00000026112	ENSPKIG00000008724	SPRY3
ENSP00000362047	ENSG00000182489	XKRX	ENSPKIP00000020328	ENSPKIG00000005149	xkrx
ENSP00000556370	ENSG00000197958	RPL12	ENSPKIP00000011574	ENSPKIG00000018595	rpl12
ENSP00000215886	ENSG00000100079	LGALS2	ENSPKIP00000033900	ENSPKIG00000013444	lgals2b
ENSP00000579182	ENSG00000203618	GP1BB	ENSPKIP00000009618	ENSPKIG00000024663	gp1bb
ENSP00000379046	ENSG00000284194	SCO2	ENSPKIP00000037675	ENSPKIG00000015760	sco2
ENSP00000708610	ENSG00000138663	COPS4	ENSPKIP00000011081	ENSPKIG00000025533	cops4
ENSP00000260386	ENSG00000137825	ITPKA	ENSPKIP00000006693	ENSPKIG00000022868	itpka
ENSP00000297267	ENSG00000164694	FNDC1	ENSPKIP00000006390	ENSPKIG00000022686	fndc1
ENSP00000612996	ENSG00000100104	SRRD	ENSPKIP00000009704	ENSPKIG00000024711	srrd
ENSP00000429847	ENSG00000169427	KCNK9	ENSPKIP00000015465	ENSPKIG00000002180	kcnk9
ENSP00000589177	ENSG00000188612	SUMO2	ENSPKIP00000007673	ENSPKIG00000023479	sumo2b
ENSP00000621575	ENSG00000130175	PRKCSH	ENSPKIP00000038344	ENSPKIG00000016142	prkcsh
ENSP00000640847	ENSG00000025708	TYMP	ENSPKIP00000034645	ENSPKIG00000013893	TYMP
ENSP00000276682	ENSG00000147677	EIF3H	ENSPKIP00000011807	ENSPKIG00000018742	EIF3H
ENSP00000522643	ENSG00000198844	ARHGEF15	ENSPKIP00000021756	ENSPKIG00000006030	arhgef15b
ENSP00000562854	ENSG00000124702	KLHDC3	ENSPKIP00000007174	ENSPKIG00000023175	klhdc3
ENSP00000575776	ENSG00000155275	TRMT44	ENSPKIP00000019535	ENSPKIG00000004663	trmt44
ENSP00000324842	ENSG00000081760	AACS	ENSPKIP00000032691	ENSPKIG00000012644	aacs
ENSP00000338766	ENSG00000113971	NPHP3	ENSPKIP00000040573	ENSPKIG00000017478	nphp3
ENSP00000591372	ENSG00000065154	OAT	ENSPKIP00000017512	ENSPKIG00000003389	oat
ENSP00000759711	ENSG00000123992	DNPEP	ENSPKIP00000014791	ENSPKIG00000001716	dnpep
ENSP00000380275	ENSG00000205937	RNPS1	ENSPKIP00000007650	ENSPKIG00000023465	rnps1
ENSP00000390344	ENSG00000169155	ZBTB43	ENSPKIP00000009673	ENSPKIG00000024691	ZBTB43
ENSP00000601209	ENSG00000163956	LRPAP1	ENSPKIP00000012514	ENSPKIG00000000278	lrpap1
ENSP00000671765	ENSG00000171953	ATPAF2	ENSPKIP00000016634	ENSPKIG00000002878	atpaf2
ENSP00000373328	ENSG00000187288	CIDEC	ENSPKIP00000041296	ENSPKIG00000017894	cidec
ENSP00000394645	ENSG00000196367	TRRAP	ENSPKIP00000040599	ENSPKIG00000017422	trrap
ENSP00000585755	ENSG00000088930	XRN2	ENSPKIP00000039594	ENSPKIG00000016889	xrn2
ENSP00000566440	ENSG00000133678	TMEM254	ENSPKIP00000025348	ENSPKIG00000008259	tmem254
ENSP00000341219	ENSG00000099954	CECR2	ENSPKIP00000040688	ENSPKIG00000017540	
ENSP00000620191	ENSG00000069509	FUNDC1	ENSPKIP00000017299	ENSPKIG00000003268	fundc1
ENSP00000798427	ENSG00000141179	PCTP	ENSPKIP00000035424	ENSPKIG00000014387	pctp
ENSP00000655274	ENSG00000130830	MPP1	ENSPKIP00000025566	ENSPKIG00000008395	mpp1
ENSP00000640885	ENSG00000186976	EFCAB6	ENSPKIP00000040631	ENSPKIG00000017519	
ENSP00000216367	ENSG00000100479	POLE2	ENSPKIP00000007932	ENSPKIG00000023629	pole2
ENSP00000614547	ENSG00000152954	NRSN1	ENSPKIP00000008985	ENSPKIG00000024262	nrsn1
ENSP00000603004	ENSG00000145214	DGKQ	ENSPKIP00000030439	ENSPKIG00000011257	DGKQ
ENSP00000514682	ENSG00000056972	TRAF3IP2	ENSPKIP00000039550	ENSPKIG00000016873	
ENSP00000558068	ENSG00000150593	PDCD4	ENSPKIP00000040555	ENSPKIG00000017462	pdcd4b
ENSP00000530270	ENSG00000168002	POLR2G	ENSPKIP00000013477	ENSPKIG00000000902	polr2g
ENSP00000244496	ENSG00000124541	RRP36	ENSPKIP00000018919	ENSPKIG00000004303	rrp36
ENSP00000363318	ENSG00000147168	IL2RG	ENSPKIP00000014216	ENSPKIG00000001365	
ENSP00000623697	ENSG00000161179	YDJC	ENSPKIP00000033364	ENSPKIG00000013111	ydjc
ENSP00000353971	ENSG00000129696	TTI2	ENSPKIP00000015356	ENSPKIG00000002108	tti2
ENSP00000764471	ENSG00000109475	RPL34	ENSPKIP00000013126	ENSPKIG00000000673	rpl34
ENSP00000490841	ENSG00000066654	THUMPD1	ENSPKIP00000035589	ENSPKIG00000014491	thumpd1
ENSP00000359386	ENSG00000160131	VMA21	ENSPKIP00000001104	ENSPKIG00000019523	vma21
ENSP00000572795	ENSG00000136710	VMA22	ENSPKIP00000024428	ENSPKIG00000007688	vma22
ENSP00000273146	ENSG00000144649	GASK1A	ENSPKIP00000032260	ENSPKIG00000012419	gask1a
ENSP00000395738	ENSG00000099899	TRMT2A	ENSPKIP00000028770	ENSPKIG00000010268	trmt2a
ENSP00000429243	ENSG00000104435	STMN2	ENSPKIP00000011477	ENSPKIG00000018549	STMN2
ENSP00000561319	ENSG00000167699	GLOD4	ENSPKIP00000024063	ENSPKIG00000007451	glod4
ENSP00000479492	ENSG00000180628	PCGF5	ENSPKIP00000022453	ENSPKIG00000006443	pcgf5b
ENSP00000478887	ENSG00000136997	MYC	ENSPKIP00000040453	ENSPKIG00000017411	mycb
ENSP00000604180	ENSG00000087365	SF3B2	ENSPKIP00000039099	ENSPKIG00000016576	sf3b2
ENSP00000798023	ENSG00000125970	RALY	ENSPKIP00000019935	ENSPKIG00000004894	raly
ENSP00000424183	ENSG00000109270	LAMTOR3	ENSPKIP00000013113	ENSPKIG00000000669	LAMTOR3
ENSP00000536329	ENSG00000107738	VSIR	ENSPKIP00000003961	ENSPKIG00000021254	vsir
ENSP00000329312	ENSG00000128322	IGLL1	ENSPKIP00000041951	ENSPKIG00000018306	
ENSP00000600089	ENSG00000105364	MRPL4	ENSPKIP00000025085	ENSPKIG00000008086	mrpl4
ENSP00000421508	ENSG00000156136	DCK	ENSPKIP00000041871	ENSPKIG00000018245	zgc:110540
ENSP00000436836	ENSG00000075429	CACNG5	ENSPKIP00000021828	ENSPKIG00000006071	cacng5a
ENSP00000508969	ENSG00000120519	SLC10A7	ENSPKIP00000038457	ENSPKIG00000016222	SLC10A7
ENSP00000483494	ENSG00000166024	R3HCC1L	ENSPKIP00000037688	ENSPKIG00000015770	r3hcc1l
ENSP00000480350	ENSG00000168096	ANKS3	ENSPKIP00000022845	ENSPKIG00000006699	anks3
ENSP00000320936	ENSG00000177663	IL17RA	ENSPKIP00000041779	ENSPKIG00000018191	
ENSP00000257017	ENSG00000134594	RAB33A	ENSPKIP00000014847	ENSPKIG00000001765	rab33a
ENSP00000594517	ENSG00000109113	RAB34	ENSPKIP00000022850	ENSPKIG00000006695	rab34a
ENSP00000218056	ENSG00000101940	WDR13	ENSPKIP00000029752	ENSPKIG00000010852	wdr13
ENSP00000720439	ENSG00000100228	RAB36	ENSPKIP00000005218	ENSPKIG00000021975	rab36
ENSP00000689574	ENSG00000104969	SGTA	ENSPKIP00000018153	ENSPKIG00000003820	sgta
ENSP00000403396	ENSG00000122591	HYCC1	ENSPKIP00000006048	ENSPKIG00000022480	hycc1
ENSP00000685306	ENSG00000169139	UBE2V2	ENSPKIP00000015672	ENSPKIG00000002295	ube2v2
ENSP00000690857	ENSG00000196072	BLOC1S2	ENSPKIP00000015169	ENSPKIG00000001971	bloc1s2
ENSP00000684986	ENSG00000198125	MB	ENSPKIP00000015373	ENSPKIG00000002122	mb
ENSP00000306275	ENSG00000171303	KCNK3	ENSPKIP00000003557	ENSPKIG00000021013	kcnk3a
ENSP00000569080	ENSG00000106344	RBM28	ENSPKIP00000007636	ENSPKIG00000023453	rbm28
ENSP00000370288	ENSG00000073169	SELENOO	ENSPKIP00000041095	ENSPKIG00000017791	selenoo1
ENSP00000488668	ENSG00000204131	NHSL2	ENSPKIP00000001749	ENSPKIG00000019921	nhsl2
ENSP00000531622	ENSG00000135686	KLHL36	ENSPKIP00000019041	ENSPKIG00000004368	klhl36
ENSP00000622483	ENSG00000169019	COMMD8	ENSPKIP00000020120	ENSPKIG00000004983	commd8
ENSP00000775018	ENSG00000205542	TMSB4X	ENSPKIP00000002134	ENSPKIG00000020152	
ENSP00000497249	ENSG00000100122	CRYBB1	ENSPKIP00000035831	ENSPKIG00000014631	crybb1
ENSP00000263317	ENSG00000086991	NOX4	ENSPKIP00000007157	ENSPKIG00000023153	
ENSP00000762400	ENSG00000175063	UBE2C	ENSPKIP00000016730	ENSPKIG00000002925	UBE2C
ENSP00000497680	ENSG00000151611	MMAA	ENSPKIP00000038200	ENSPKIG00000016070	mmaa
ENSP00000586963	ENSG00000100360	IFT27	ENSPKIP00000034842	ENSPKIG00000014012	IFT27
ENSP00000296509	ENSG00000164109	MAD2L1	ENSPKIP00000038692	ENSPKIG00000016368	mad2l1
ENSP00000618333	ENSG00000101181	MTG2	ENSPKIP00000010456	ENSPKIG00000025173	mtg2
ENSP00000510098	ENSG00000109381	ELF2	ENSPKIP00000005433	ENSPKIG00000022104	ELF2
ENSP00000382120	ENSG00000183773	AIFM3	ENSPKIP00000009632	ENSPKIG00000024653	aifm3
ENSP00000370886	ENSG00000120215	MLANA	ENSPKIP00000003090	ENSPKIG00000020736	MLANA
ENSP00000556186	ENSG00000179583	CIITA	ENSPKIP00000011405	ENSPKIG00000018513	CIITA
ENSP00000729623	ENSG00000167904	TMEM68	ENSPKIP00000020730	ENSPKIG00000005404	tmem68
ENSP00000306410	ENSG00000169126	ODAD2	ENSPKIP00000027829	ENSPKIG00000009701	odad2
ENSP00000496526	ENSG00000131269	ABCB7	ENSPKIP00000005806	ENSPKIG00000022336	abcb7
ENSP00000558771	ENSG00000118507	AKAP7	ENSPKIP00000032471	ENSPKIG00000012538	AKAP7
ENSP00000276704	ENSG00000189376	C8orf76	ENSPKIP00000011521	ENSPKIG00000018559	zgc:101716
ENSP00000426167	ENSG00000198856	OSTC	ENSPKIP00000013160	ENSPKIG00000000697	ostc
ENSP00000324729	ENSG00000151748	SAV1	ENSPKIP00000026173	ENSPKIG00000008761	sav1
ENSP00000390666	ENSG00000154975	CA10	ENSPKIP00000030110	ENSPKIG00000011067	ca10b
ENSP00000357440	ENSG00000025156	HSF2	ENSPKIP00000033952	ENSPKIG00000013479	hsf2
ENSP00000260383	ENSG00000137822	TUBGCP4	ENSPKIP00000038358	ENSPKIG00000016146	tubgcp4
ENSP00000357643	ENSG00000148773	MKI67	ENSPKIP00000041462	ENSPKIG00000017988	
ENSP00000610570	ENSG00000121211	MND1	ENSPKIP00000040597	ENSPKIG00000017495	mnd1
ENSP00000640391	ENSG00000076641	PAG1	ENSPKIP00000023156	ENSPKIG00000006896	pag1
ENSP00000690507	ENSG00000125734	GPR108	ENSPKIP00000029157	ENSPKIG00000010510	gpr108
ENSP00000520824	ENSG00000165985	C1QL3	ENSPKIP00000017727	ENSPKIG00000003527	c1ql3a
ENSP00000262306	ENSG00000103363	ELOB	ENSPKIP00000036426	ENSPKIG00000015003	elob
ENSP00000554974	ENSG00000158636	EMSY	ENSPKIP00000034706	ENSPKIG00000013871	emsy
ENSP00000380598	ENSG00000188428	BLOC1S5	ENSPKIP00000024329	ENSPKIG00000007629	bloc1s5
ENSP00000574219	ENSG00000081177	EXD2	ENSPKIP00000024793	ENSPKIG00000007907	exd2
ENSP00000787088	ENSG00000122378	PRXL2A	ENSPKIP00000026967	ENSPKIG00000009214	selenou1a
ENSP00000384616	ENSG00000169026	SLC49A3	ENSPKIP00000037994	ENSPKIG00000015953	SLC49A3
ENSP00000518261	ENSG00000161981	SNRNP25	ENSPKIP00000002943	ENSPKIG00000020652	snrnp25
ENSP00000671726	ENSG00000112081	SRSF3	ENSPKIP00000014303	ENSPKIG00000001408	
ENSP00000644394	ENSG00000186088	GSAP	ENSPKIP00000002961	ENSPKIG00000020662	gsap
ENSP00000429538	ENSG00000133872	SARAF	ENSPKIP00000037427	ENSPKIG00000015619	saraf
ENSP00000739550	ENSG00000054148	PHPT1	ENSPKIP00000023978	ENSPKIG00000007404	si:dkey-51e6.1
ENSP00000617837	ENSG00000103591	AAGAB	ENSPKIP00000037809	ENSPKIG00000015838	aagab
ENSP00000612374	ENSG00000087302	RTRAF	ENSPKIP00000036677	ENSPKIG00000015146	rtraf
ENSP00000392257	ENSG00000185250	PPIL6	ENSPKIP00000033292	ENSPKIG00000013067	ppil6
ENSP00000420966	ENSG00000188981	MSANTD1	ENSPKIP00000019196	ENSPKIG00000004462	msantd1
