Dre Gene ID	Dre Protein ID	Dre Gene Name	Eel Gene ID	Eel Protein ID	Eel Gene Name
ENSDARP00000137923	ENSDARG00000088247	si:ch1073-303k11.2	ENSEEEP00000009375	ENSEEEG00000004798	si:ch1073-303k11.2
ENSDARP00000135780	ENSDARG00000098663	fgf19	ENSEEEP00000038532	ENSEEEG00000018290	FGF19
ENSDARP00000008354	ENSDARG00000002190	chmp2bb	ENSEEEP00000059402	ENSEEEG00000026620	chmp2bb
ENSDARP00000071213	ENSDARG00000054540	imp4	ENSEEEP00000019417	ENSEEEG00000009363	IMP4
ENSDARP00000019054	ENSDARG00000020609	snap25a	ENSEEEP00000010904	ENSEEEG00000005459	snap25a
ENSDARP00000144959	ENSDARG00000035056	fgf13a	ENSEEEP00000057360	ENSEEEG00000024434	FGF13
ENSDARP00000112142	ENSDARG00000091692	havcr2	ENSEEEP00000043758	ENSEEEG00000020685	HAVCR2
ENSDARP00000117880	ENSDARG00000025326	myl12.2	ENSEEEP00000033684	ENSEEEG00000015991	
ENSDARP00000126680	ENSDARG00000073724	nlrx1	ENSEEEP00000019537	ENSEEEG00000009573	NLRX1
ENSDARP00000072577	ENSDARG00000055708	timm8b	ENSEEEP00000030615	ENSEEEG00000014664	TIMM8B
ENSDARP00000073347	ENSDARG00000056396	dusp22a	ENSEEEP00000036062	ENSEEEG00000017152	dusp22a
ENSDARP00000004018	ENSDARG00000009961	rundc3b	ENSEEEP00000007930	ENSEEEG00000004142	RUNDC3B
ENSDARP00000155974	ENSDARG00000079881	tcaim	ENSEEEP00000025903	ENSEEEG00000012547	TCAIM
ENSDARP00000125729	ENSDARG00000043510	vamp4	ENSEEEP00000024522	ENSEEEG00000011891	VAMP4
ENSDARP00000119897	ENSDARG00000038156	dusp11	ENSEEEP00000044790	ENSEEEG00000021141	DUSP11
ENSDARP00000069524	ENSDARG00000053070	gosr2	ENSEEEP00000006816	ENSEEEG00000003599	gosr2
ENSDARP00000152979	ENSDARG00000027078	cnppd1	ENSEEEP00000006618	ENSEEEG00000003507	CNPPD1
ENSDARP00000130135	ENSDARG00000042458	rfc4	ENSEEEP00000002918	ENSEEEG00000001660	RFC4
ENSDARP00000021771	ENSDARG00000009336	aif1l	ENSEEEP00000014069	ENSEEEG00000006994	AIF1L
ENSDARP00000118418	ENSDARG00000076247	dlk2	ENSEEEP00000026485	ENSEEEG00000012815	TNFRSF18
ENSDARP00000114303	ENSDARG00000075349	si:ch73-138n13.1	ENSEEEP00000059213	ENSEEEG00000026986	si:ch73-138n13.1
ENSDARP00000129857	ENSDARG00000070526	zc2hc1c	ENSEEEP00000043820	ENSEEEG00000020709	
ENSDARP00000059052	ENSDARG00000040350	rpp38	ENSEEEP00000006528	ENSEEEG00000003451	RPP38
ENSDARP00000012577	ENSDARG00000018787	efna1b	ENSEEEP00000035533	ENSEEEG00000016926	efna1b
ENSDARP00000116687	ENSDARG00000030650	r3hdml	ENSEEEP00000050645	ENSEEEG00000023806	R3HDML
ENSDARP00000139597	ENSDARG00000100336	pik3r6a	ENSEEEP00000043828	ENSEEEG00000020715	PIK3R6
ENSDARP00000137482	ENSDARG00000079765	si:ch211-112f3.4	ENSEEEP00000060653	ENSEEEG00000026990	si:ch211-112f3.4
ENSDARP00000123077	ENSDARG00000033973	mrps23	ENSEEEP00000017621	ENSEEEG00000008701	MRPS23
ENSDARP00000117387	ENSDARG00000052035	nxnl1	ENSEEEP00000049090	ENSEEEG00000023067	nxnl1
ENSDARP00000062873	ENSDARG00000042837	atp1b3b	ENSEEEP00000049962	ENSEEEG00000023487	atp1b3b
ENSDARP00000040700	ENSDARG00000022413	ing5a	ENSEEEP00000051831	ENSEEEG00000024327	ing5a
ENSDARP00000133449	ENSDARG00000104641	si:ch211-261d7.6	ENSEEEP00000054745	ENSEEEG00000028295	
ENSDARP00000118349	ENSDARG00000092660	cyp27c1	ENSEEEP00000022598	ENSEEEG00000010979	CYP27C1
ENSDARP00000073024	ENSDARG00000056130	neurog1	ENSEEEP00000061989	ENSEEEG00000025018	NEUROG1
ENSDARP00000128202	ENSDARG00000091377	gal	ENSEEEP00000037445	ENSEEEG00000017808	galn
ENSDARP00000133291	ENSDARG00000104278	slc2a8	ENSEEEP00000047279	ENSEEEG00000022252	SLC2A8
ENSDARP00000113816	ENSDARG00000090444	ponzr1	ENSEEEP00000001578	ENSEEEG00000001011	ponzr1
ENSDARP00000117235	ENSDARG00000074930	msmp2	ENSEEEP00000036989	ENSEEEG00000017563	msmp2
ENSDARP00000002745	ENSDARG00000020606	nfe2	ENSEEEP00000057131	ENSEEEG00000024905	NFE2
ENSDARP00000002874	ENSDARG00000008097	srsf9	ENSEEEP00000025221	ENSEEEG00000012236	SRSF9
ENSDARP00000126893	ENSDARG00000096577	adgre9	ENSEEEP00000057927	ENSEEEG00000026458	slc34a2a
ENSDARP00000063356	ENSDARG00000051923	ccnb1	ENSEEEP00000020772	ENSEEEG00000010134	CCNB1
ENSDARP00000135134	ENSDARG00000098942	rp9	ENSEEEP00000012575	ENSEEEG00000006312	rp9
ENSDARP00000123413	ENSDARG00000076904	loxl5b	ENSEEEP00000000254	ENSEEEG00000000155	loxl5b
ENSDARP00000052870	ENSDARG00000036394	pop7	ENSEEEP00000032645	ENSEEEG00000015566	POP7
ENSDARP00000121828	ENSDARG00000017590	nit2	ENSEEEP00000009996	ENSEEEG00000005080	NIT2
ENSDARP00000140385	ENSDARG00000101446	si:dkey-46i9.1	ENSEEEP00000050163	ENSEEEG00000023598	PCP4L1
ENSDARP00000115605	ENSDARG00000016095	htr6	ENSEEEP00000029533	ENSEEEG00000014144	HTR6
ENSDARP00000057641	ENSDARG00000039456	acbd6	ENSEEEP00000056313	ENSEEEG00000026295	ACBD6
ENSDARP00000025546	ENSDARG00000019835	nkx2.1	ENSEEEP00000045068	ENSEEEG00000021275	nkx2.1
ENSDARP00000011199	ENSDARG00000003303	stc1	ENSEEEP00000001953	ENSEEEG00000001220	STC1
ENSDARP00000079638	ENSDARG00000074050	efnb2b	ENSEEEP00000041049	ENSEEEG00000019437	efnb2b
ENSDARP00000117571	ENSDARG00000075929	si:dkey-219c10.4	ENSEEEP00000024135	ENSEEEG00000011704	si:dkey-219c10.4
ENSDARP00000067152	ENSDARG00000045671	ifng1r	ENSEEEP00000000139	ENSEEEG00000000098	ifng1r
ENSDARP00000024428	ENSDARG00000007723	efnb1	ENSEEEP00000064380	ENSEEEG00000027197	EFNB1
ENSDARP00000147988	ENSDARG00000105641	si:ch211-98n17.5	ENSEEEP00000044554	ENSEEEG00000021043	si:ch211-98n17.5
ENSDARP00000127643	ENSDARG00000079659	wdr53	ENSEEEP00000062296	ENSEEEG00000025382	WDR53
ENSDARP00000128518	ENSDARG00000097546	si:ch211-40k21.9	ENSEEEP00000035955	ENSEEEG00000017103	
ENSDARP00000004826	ENSDARG00000003207	mterf3	ENSEEEP00000018162	ENSEEEG00000008933	MTERF3
ENSDARP00000003705	ENSDARG00000008748	ube2na	ENSEEEP00000060592	ENSEEEG00000006953	ube2na
ENSDARP00000121461	ENSDARG00000060835	tecpr2	ENSEEEP00000004733	ENSEEEG00000002473	TECPR2
ENSDARP00000056733	ENSDARG00000038858	setd7	ENSEEEP00000001258	ENSEEEG00000000854	SETD7
ENSDARP00000122089	ENSDARG00000022623	fbxo44.1	ENSEEEP00000014088	ENSEEEG00000006996	si:dkey-147f3.4
ENSDARP00000126025	ENSDARG00000073718	apol	ENSEEEP00000063980	ENSEEEG00000026837	si:ch73-233k15.2
ENSDARP00000113365	ENSDARG00000062874	hcar1-3	ENSEEEP00000022151	ENSEEEG00000010760	hcar1-3
ENSDARP00000133214	ENSDARG00000056801	sufu	ENSEEEP00000035601	ENSEEEG00000016951	SUFU
ENSDARP00000123733	ENSDARG00000090764	bcas3	ENSEEEP00000039779	ENSEEEG00000018785	BCAS3
ENSDARP00000072847	ENSDARG00000004517	ppat	ENSEEEP00000040598	ENSEEEG00000019228	PPAT
ENSDARP00000139625	ENSDARG00000100256	minar1l	ENSEEEP00000013920	ENSEEEG00000006916	si:dkey-88e18.8
ENSDARP00000102071	ENSDARG00000075517	si:ch211-120k19.1	ENSEEEP00000044952	ENSEEEG00000021213	si:ch211-120k19.1
ENSDARP00000081844	ENSDARG00000061348	adat1	ENSEEEP00000057266	ENSEEEG00000006248	ADAT1
ENSDARP00000023050	ENSDARG00000002732	spon2b	ENSEEEP00000036268	ENSEEEG00000017247	spon2b
ENSDARP00000127713	ENSDARG00000097224	prr33	ENSEEEP00000014915	ENSEEEG00000007427	prr33
ENSDARP00000122777	ENSDARG00000069415	col17a1a	ENSEEEP00000043371	ENSEEEG00000020491	
ENSDARP00000010990	ENSDARG00000018817	bdnf	ENSEEEP00000054224	ENSEEEG00000017408	BDNF
ENSDARP00000038316	ENSDARG00000021595	lhfpl3	ENSEEEP00000052199	ENSEEEG00000024474	LHFPL3
ENSDARP00000054808	ENSDARG00000004726	trappc11	ENSEEEP00000028136	ENSEEEG00000013539	TRAPPC11
ENSDARP00000026470	ENSDARG00000077037	txlna	ENSEEEP00000018140	ENSEEEG00000008835	TXLNA
ENSDARP00000064645	ENSDARG00000044034	tmem86a	ENSEEEP00000063840	ENSEEEG00000027527	TMEM86A
ENSDARP00000010571	ENSDARG00000011801	wars2	ENSEEEP00000018989	ENSEEEG00000009310	WARS2
ENSDARP00000049398	ENSDARG00000028804	ankrd9	ENSEEEP00000004717	ENSEEEG00000002469	ANKRD9
ENSDARP00000055753	ENSDARG00000038235	pkdccb	ENSEEEP00000035765	ENSEEEG00000017022	pkdccb
ENSDARP00000087581	ENSDARG00000063626	ddx21	ENSEEEP00000013750	ENSEEEG00000006494	DDX21
ENSDARP00000069995	ENSDARG00000053480	aqp9b	ENSEEEP00000038164	ENSEEEG00000018122	aqp9b
ENSDARP00000144131	ENSDARG00000068678	drc9	ENSEEEP00000002184	ENSEEEG00000001336	IQCG
ENSDARP00000142933	ENSDARG00000067794	cabz01076234.2	ENSEEEP00000010149	ENSEEEG00000005148	cabz01076234.2
ENSDARP00000016089	ENSDARG00000005318	stam2	ENSEEEP00000031720	ENSEEEG00000015151	STAM2
ENSDARP00000133185	ENSDARG00000101102	tprn	ENSEEEP00000020704	ENSEEEG00000010100	tprn
ENSDARP00000070128	ENSDARG00000043492	irf1a	ENSEEEP00000012878	ENSEEEG00000006470	irf1a
ENSDARP00000106559	ENSDARG00000045308	pola1	ENSEEEP00000016683	ENSEEEG00000008268	POLA1
ENSDARP00000094348	ENSDARG00000060062	lrrc74a	ENSEEEP00000018985	ENSEEEG00000009308	
ENSDARP00000097767	ENSDARG00000075795	nol7	ENSEEEP00000000071	ENSEEEG00000000042	NOL7
ENSDARP00000107667	ENSDARG00000091799	fam217bb	ENSEEEP00000055268	ENSEEEG00000027735	fam217bb
ENSDARP00000058887	ENSDARG00000040254	hormad1	ENSEEEP00000045423	ENSEEEG00000021444	HORMAD1
ENSDARP00000122505	ENSDARG00000045567	phpt1	ENSEEEP00000031676	ENSEEEG00000015136	PHPT1
ENSDARP00000128647	ENSDARG00000078592	nomo	ENSEEEP00000018936	ENSEEEG00000009217	nomo
ENSDARP00000100393	ENSDARG00000079727	selenop2	ENSEEEP00000062895	ENSEEEG00000027546	selenop2
ENSDARP00000119631	ENSDARG00000025554	wdr83os	ENSEEEP00000026043	ENSEEEG00000012608	WDR83OS
ENSDARP00000125630	ENSDARG00000094886	si:dkey-266f7.5	ENSEEEP00000053367	ENSEEEG00000028011	
ENSDARP00000038063	ENSDARG00000033227	lect2.1	ENSEEEP00000012812	ENSEEEG00000006436	lect2.1
ENSDARP00000049899	ENSDARG00000033466	tagln2	ENSEEEP00000037336	ENSEEEG00000017748	TAGLN2
ENSDARP00000081418	ENSDARG00000061194	hectd2	ENSEEEP00000056993	ENSEEEG00000014888	HECTD2
ENSDARP00000109328	ENSDARG00000089645	si:ch1073-406l10.2	ENSEEEP00000008350	ENSEEEG00000004357	
ENSDARP00000143911	ENSDARG00000043912	mei4	ENSEEEP00000053555	ENSEEEG00000012174	MEI4
ENSDARP00000119070	ENSDARG00000036781	haus2	ENSEEEP00000035909	ENSEEEG00000017080	si:dkey-170l10.1
ENSDARP00000017995	ENSDARG00000021208	serpind1	ENSEEEP00000010331	ENSEEEG00000005229	SERPIND1
ENSDARP00000145264	ENSDARG00000099374	sp9	ENSEEEP00000009668	ENSEEEG00000004927	SP9
ENSDARP00000089057	ENSDARG00000068096	atf5a	ENSEEEP00000030385	ENSEEEG00000014557	atf5a
ENSDARP00000023337	ENSDARG00000011125	snrpb	ENSEEEP00000015843	ENSEEEG00000007833	SNRPB
ENSDARP00000014514	ENSDARG00000003927	cldn12	ENSEEEP00000055522	ENSEEEG00000025125	CLDN12
ENSDARP00000038879	ENSDARG00000028523	inip	ENSEEEP00000064299	ENSEEEG00000026008	INIP
ENSDARP00000102358	ENSDARG00000073896	gjc2	ENSEEEP00000038728	ENSEEEG00000018377	cx47.1
ENSDARP00000077716	ENSDARG00000052527	mul1	ENSEEEP00000003316	ENSEEEG00000001870	mul1b
ENSDARP00000110384	ENSDARG00000057437	apodb	ENSEEEP00000046919	ENSEEEG00000022085	apodb
ENSDARP00000079593	ENSDARG00000060442	tmem259	ENSEEEP00000051684	ENSEEEG00000024271	TMEM259
ENSDARP00000153915	ENSDARG00000079926	syt15	ENSEEEP00000011713	ENSEEEG00000005898	syt15
ENSDARP00000113004	ENSDARG00000054442	cbx1b	ENSEEEP00000064388	ENSEEEG00000025946	cbx1b
ENSDARP00000117841	ENSDARG00000019195	vps9d1	ENSEEEP00000058264	ENSEEEG00000027667	vps9d1
ENSDARP00000108475	ENSDARG00000087736	si:dkey-118k5.3	ENSEEEP00000019729	ENSEEEG00000009653	si:dkey-118k5.3
ENSDARP00000119684	ENSDARG00000001572	prf1.3	ENSEEEP00000034925	ENSEEEG00000016598	prf1.3
ENSDARP00000023687	ENSDARG00000020623	baxa	ENSEEEP00000055176	ENSEEEG00000003603	BAX
ENSDARP00000097824	ENSDARG00000007362	sft2d1	ENSEEEP00000061797	ENSEEEG00000029163	SFT2D1
ENSDARP00000002531	ENSDARG00000004151	rab23	ENSEEEP00000018284	ENSEEEG00000008983	RAB23
ENSDARP00000155685	ENSDARG00000058820	bin1b	ENSEEEP00000012406	ENSEEEG00000006228	bin1b
ENSDARP00000098601	ENSDARG00000009779	mcl1a	ENSEEEP00000017685	ENSEEEG00000008733	mcl1a
ENSDARP00000135128	ENSDARG00000104300	wipf1a	ENSEEEP00000063876	ENSEEEG00000025028	WIPF1
ENSDARP00000055133	ENSDARG00000037837	ogfr	ENSEEEP00000028309	ENSEEEG00000013606	OGFR
ENSDARP00000127110	ENSDARG00000088878	c1qtnf1	ENSEEEP00000017864	ENSEEEG00000008817	C1QTNF1
ENSDARP00000113133	ENSDARG00000054941	ldlrad4b	ENSEEEP00000038147	ENSEEEG00000018125	ldlrad4b
ENSDARP00000022142	ENSDARG00000008829	chga	ENSEEEP00000024447	ENSEEEG00000011857	tpm4b
ENSDARP00000107994	ENSDARG00000089572	tfpt	ENSEEEP00000051173	ENSEEEG00000024025	tfpt
ENSDARP00000053138	ENSDARG00000036577	atp6v0cb	ENSEEEP00000033479	ENSEEEG00000015890	ATP6V0C
ENSDARP00000157527	ENSDARG00000045483	lrtm2a	ENSEEEP00000020320	ENSEEEG00000009916	lrtm2a
ENSDARP00000123345	ENSDARG00000068709	fam174b	ENSEEEP00000036443	ENSEEEG00000017326	FAM174B
ENSDARP00000061584	ENSDARG00000042025	si:dkeyp-118h3.6	ENSEEEP00000000637	ENSEEEG00000000453	C2orf49
ENSDARP00000066603	ENSDARG00000045289	gpr137c	ENSEEEP00000052868	ENSEEEG00000012796	GPR137C
ENSDARP00000116801	ENSDARG00000095002	tnnc2.1	ENSEEEP00000015513	ENSEEEG00000007684	TNNC2
ENSDARP00000003494	ENSDARG00000010792	cdc25b	ENSEEEP00000000097	ENSEEEG00000000068	CDC25B
ENSDARP00000128064	ENSDARG00000089787	crebzf	ENSEEEP00000031900	ENSEEEG00000015231	CREBZF
ENSDARP00000131164	ENSDARG00000104495	pltp	ENSEEEP00000015334	ENSEEEG00000007548	PLTP
ENSDARP00000124621	ENSDARG00000053702	il2rgb	ENSEEEP00000058621	ENSEEEG00000025316	il2rgb
ENSDARP00000147936	ENSDARG00000011405	rps9	ENSEEEP00000015283	ENSEEEG00000007597	RPS9
ENSDARP00000112192	ENSDARG00000011434	ptger2a	ENSEEEP00000026462	ENSEEEG00000012800	ptger2a
ENSDARP00000135209	ENSDARG00000051914	slc14a2	ENSEEEP00000027708	ENSEEEG00000013327	SLC14A2
ENSDARP00000142637	ENSDARG00000045428	mcee	ENSEEEP00000038967	ENSEEEG00000018489	MCEE
ENSDARP00000096287	ENSDARG00000078164	znf576.2	ENSEEEP00000034253	ENSEEEG00000016318	
ENSDARP00000132528	ENSDARG00000102353	ddx47	ENSEEEP00000004657	ENSEEEG00000002428	DDX47
ENSDARP00000056722	ENSDARG00000038847	gins3	ENSEEEP00000055168	ENSEEEG00000025640	GINS3
ENSDARP00000005611	ENSDARG00000002564	syngr1a	ENSEEEP00000008939	ENSEEEG00000004615	SYNGR1
ENSDARP00000075478	ENSDARG00000058208	slc25a26	ENSEEEP00000023507	ENSEEEG00000011400	SLC25A26
ENSDARP00000077781	ENSDARG00000059725	hypk	ENSEEEP00000040687	ENSEEEG00000019277	HYPK
ENSDARP00000024277	ENSDARG00000016858	smad7	ENSEEEP00000006576	ENSEEEG00000003484	SMAD7
ENSDARP00000053000	ENSDARG00000036481	tcn2	ENSEEEP00000019056	ENSEEEG00000009354	TCN2
ENSDARP00000073053	ENSDARG00000056156	npdc1b	ENSEEEP00000040789	ENSEEEG00000019325	npdc1b
ENSDARP00000015671	ENSDARG00000017195	foxf2a	ENSEEEP00000051475	ENSEEEG00000024166	foxf2a
ENSDARP00000115873	ENSDARG00000074356	fxn	ENSEEEP00000021634	ENSEEEG00000010527	FXN
ENSDARP00000100184	ENSDARG00000080020	il13ra1	ENSEEEP00000013736	ENSEEEG00000006845	IL13RA1
ENSDARP00000131812	ENSDARG00000018958	nrarpb	ENSEEEP00000047275	ENSEEEG00000022249	nrarpb
ENSDARP00000130897	ENSDARG00000094300	nupr1a	ENSEEEP00000003759	ENSEEEG00000002029	nupr1a
ENSDARP00000140992	ENSDARG00000103146	nlrc3	ENSEEEP00000057902	ENSEEEG00000011464	NLRC3
ENSDARP00000012738	ENSDARG00000002298	ankrd22	ENSEEEP00000064444	ENSEEEG00000010501	HPRT1
ENSDARP00000020840	ENSDARG00000010596	slc7a6os	ENSEEEP00000031095	ENSEEEG00000014884	SLC7A6OS
ENSDARP00000119340	ENSDARG00000079889	phldb2a	ENSEEEP00000036411	ENSEEEG00000017311	
ENSDARP00000133669	ENSDARG00000098295	efna3b	ENSEEEP00000035532	ENSEEEG00000016924	efna3b
ENSDARP00000151039	ENSDARG00000039899	zbtb7a	ENSEEEP00000028588	ENSEEEG00000013728	ZBTB7A
ENSDARP00000079698	ENSDARG00000060484	selenoi	ENSEEEP00000004113	ENSEEEG00000002133	SELENOI
ENSDARP00000008347	ENSDARG00000021239	apaf1	ENSEEEP00000056605	ENSEEEG00000025015	APAF1
ENSDARP00000123431	ENSDARG00000038693	gng7	ENSEEEP00000058795	ENSEEEG00000028135	GNG7
ENSDARP00000007424	ENSDARG00000013576	gadd45bb	ENSEEEP00000013211	ENSEEEG00000006622	gadd45bb
ENSDARP00000129643	ENSDARG00000074590	wdpcp	ENSEEEP00000010058	ENSEEEG00000005103	
ENSDARP00000070951	ENSDARG00000054312	slc38a6	ENSEEEP00000049288	ENSEEEG00000023167	SLC38A6
ENSDARP00000041857	ENSDARG00000029415	mtx2	ENSEEEP00000046533	ENSEEEG00000021916	MTX2
ENSDARP00000130659	ENSDARG00000101942	si:dkey-260j18.2	ENSEEEP00000036892	ENSEEEG00000017518	si:dkey-260j18.2
ENSDARP00000127560	ENSDARG00000003313	eps8l1b	ENSEEEP00000060657	ENSEEEG00000028055	eps8l1b
ENSDARP00000047953	ENSDARG00000058221	ugcg	ENSEEEP00000022167	ENSEEEG00000010771	UGCG
ENSDARP00000029214	ENSDARG00000022139	ocstamp	ENSEEEP00000023463	ENSEEEG00000011376	OCSTAMP
ENSDARP00000081531	ENSDARG00000061223	ogfrl1	ENSEEEP00000000988	ENSEEEG00000000659	OGFRL1
ENSDARP00000010116	ENSDARG00000017388	gstt1b	ENSEEEP00000012967	ENSEEEG00000006519	gstt1b
ENSDARP00000126554	ENSDARG00000037891	mlx	ENSEEEP00000010452	ENSEEEG00000005285	MLX
ENSDARP00000122427	ENSDARG00000062177	dcbld2	ENSEEEP00000016658	ENSEEEG00000008248	DCBLD2
ENSDARP00000024085	ENSDARG00000038694	zgc:101744	ENSEEEP00000013218	ENSEEEG00000006625	zgc:101744
ENSDARP00000089483	ENSDARG00000068291	tmem208	ENSEEEP00000001978	ENSEEEG00000001232	TMEM208
ENSDARP00000033279	ENSDARG00000020473	hddc3	ENSEEEP00000040671	ENSEEEG00000019272	HDDC3
ENSDARP00000011083	ENSDARG00000020101	psmc2	ENSEEEP00000021813	ENSEEEG00000010534	PSMC2
ENSDARP00000131360	ENSDARG00000077817	cxxc4	ENSEEEP00000006631	ENSEEEG00000003514	CXXC4
ENSDARP00000114128	ENSDARG00000060534	sgpp1b	ENSEEEP00000064037	ENSEEEG00000025484	SGPP1
ENSDARP00000055499	ENSDARG00000038072	ptx4	ENSEEEP00000044244	ENSEEEG00000020902	PTX4
ENSDARP00000130189	ENSDARG00000101309	cp110	ENSEEEP00000053168	ENSEEEG00000025404	NCOA2
ENSDARP00000088447	ENSDARG00000009939	micu2	ENSEEEP00000046640	ENSEEEG00000021959	MICU2
ENSDARP00000077375	ENSDARG00000059575	uhmk1	ENSEEEP00000014253	ENSEEEG00000007085	UHMK1
ENSDARP00000073031	ENSDARG00000056134	c1qtnf5	ENSEEEP00000057242	ENSEEEG00000009636	C1QTNF5
ENSDARP00000085941	ENSDARG00000062929	fam83gb	ENSEEEP00000039146	ENSEEEG00000018597	FAM83G
ENSDARP00000114480	ENSDARG00000039150	lgmn	ENSEEEP00000000746	ENSEEEG00000000350	LGMN
ENSDARP00000055429	ENSDARG00000038028	ndufa6	ENSEEEP00000020725	ENSEEEG00000010115	NDUFA6
ENSDARP00000098710	ENSDARG00000077911	treh	ENSEEEP00000064587	ENSEEEG00000018108	TREH
ENSDARP00000107755	ENSDARG00000091548	stard9	ENSEEEP00000045102	ENSEEEG00000021297	
ENSDARP00000084112	ENSDARG00000062216	narfl	ENSEEEP00000009051	ENSEEEG00000004660	narfl
ENSDARP00000123708	ENSDARG00000058567	avp	ENSEEEP00000020228	ENSEEEG00000009876	oxt
ENSDARP00000124801	ENSDARG00000012603	eif3ja	ENSEEEP00000017447	ENSEEEG00000008632	eif3jb
ENSDARP00000098663	ENSDARG00000076639	esamb	ENSEEEP00000023491	ENSEEEG00000011389	esamb
ENSDARP00000064175	ENSDARG00000043705	mob3c	ENSEEEP00000009199	ENSEEEG00000004729	MOB3C
ENSDARP00000064471	ENSDARG00000043904	pnrc1	ENSEEEP00000011908	ENSEEEG00000006001	PNRC1
ENSDARP00000071121	ENSDARG00000054458	slmapa	ENSEEEP00000026505	ENSEEEG00000012362	slmapa
ENSDARP00000137311	ENSDARG00000103020	pecam1b	ENSEEEP00000011988	ENSEEEG00000006044	pecam1b
ENSDARP00000104933	ENSDARG00000033160	nr1d1	ENSEEEP00000007659	ENSEEEG00000004006	NR1D1
ENSDARP00000083980	ENSDARG00000013863	fam133b	ENSEEEP00000061255	ENSEEEG00000028164	FAM133B
ENSDARP00000138586	ENSDARG00000101455	si:ch211-284k5.2	ENSEEEP00000035272	ENSEEEG00000016783	si:ch211-284k5.2
ENSDARP00000128695	ENSDARG00000086336	si:ch211-157b11.12	ENSEEEP00000057653	ENSEEEG00000025527	si:ch211-157b11.12
ENSDARP00000098015	ENSDARG00000088140	hsd17b7	ENSEEEP00000014279	ENSEEEG00000007099	HSD17B7
ENSDARP00000142118	ENSDARG00000105322	klhdc7a	ENSEEEP00000057783	ENSEEEG00000025553	klhdc7a
ENSDARP00000010083	ENSDARG00000013734	polr3glb	ENSEEEP00000032124	ENSEEEG00000015325	polr3glb
ENSDARP00000073663	ENSDARG00000056678	trim47	ENSEEEP00000030060	ENSEEEG00000014407	TRIM47
ENSDARP00000026625	ENSDARG00000003961	parp3	ENSEEEP00000052158	ENSEEEG00000024451	PARP3
ENSDARP00000076902	ENSDARG00000059362	cavin1b	ENSEEEP00000042703	ENSEEEG00000020151	cavin1b
ENSDARP00000116465	ENSDARG00000058734	prdx1	ENSEEEP00000023107	ENSEEEG00000011207	PRDX1
ENSDARP00000033328	ENSDARG00000026406	anxa5a	ENSEEEP00000032400	ENSEEEG00000015449	anxa5a
ENSDARP00000067163	ENSDARG00000045681	irf5	ENSEEEP00000019175	ENSEEEG00000009399	IRF5
ENSDARP00000138165	ENSDARG00000023659	gabpb1	ENSEEEP00000048143	ENSEEEG00000022667	GABPB1
ENSDARP00000094044	ENSDARG00000070404	inka1b	ENSEEEP00000012513	ENSEEEG00000006278	inka1b
ENSDARP00000117544	ENSDARG00000092458	si:dkey-282h22.5	ENSEEEP00000047257	ENSEEEG00000022240	VAMP5
ENSDARP00000122998	ENSDARG00000055426	rwdd2b	ENSEEEP00000057992	ENSEEEG00000029113	RWDD2B
ENSDARP00000058247	ENSDARG00000039824	zgc:172182	ENSEEEP00000039162	ENSEEEG00000018614	zgc:172182
ENSDARP00000104833	ENSDARG00000057322	tmem47	ENSEEEP00000062473	ENSEEEG00000027472	TMEM47
ENSDARP00000092253	ENSDARG00000022614	ddx43	ENSEEEP00000064412	ENSEEEG00000019059	ddx43
ENSDARP00000039210	ENSDARG00000026068	trappc5	ENSEEEP00000041442	ENSEEEG00000019598	TRAPPC5
ENSDARP00000141525	ENSDARG00000036968	serpina10b	ENSEEEP00000015901	ENSEEEG00000007863	si:ch1073-416d2.3
ENSDARP00000001039	ENSDARG00000001249	pcgf1	ENSEEEP00000033703	ENSEEEG00000016039	PCGF1
ENSDARP00000025541	ENSDARG00000011400	tnnc1a	ENSEEEP00000020085	ENSEEEG00000009762	TNNC1
ENSDARP00000089134	ENSDARG00000068149	tprg1l	ENSEEEP00000002011	ENSEEEG00000001250	TPRG1L
ENSDARP00000070307	ENSDARG00000053744	dcdc2b	ENSEEEP00000048705	ENSEEEG00000022916	DCDC2B
ENSDARP00000133113	ENSDARG00000100916	uvssa	ENSEEEP00000017720	ENSEEEG00000008757	UVSSA
ENSDARP00000131103	ENSDARG00000099427	nkx1.2lb	ENSEEEP00000017718	ENSEEEG00000008755	nkx1.2lb
ENSDARP00000128832	ENSDARG00000069944	p2ry13	ENSEEEP00000051840	ENSEEEG00000024334	P2RY13
ENSDARP00000122260	ENSDARG00000019976	idi1	ENSEEEP00000061069	ENSEEEG00000026052	IDI1
ENSDARP00000067932	ENSDARG00000051763	sntb2	ENSEEEP00000045182	ENSEEEG00000021329	SNTB2
ENSDARP00000113719	ENSDARG00000076983	rnasel4	ENSEEEP00000019655	ENSEEEG00000024721	rnasel2
ENSDARP00000087565	ENSDARG00000063621	aadac	ENSEEEP00000051816	ENSEEEG00000024322	AADAC
ENSDARP00000126262	ENSDARG00000053395	cdkn2aipnl	ENSEEEP00000051773	ENSEEEG00000024309	CDKN2AIPNL
ENSDARP00000100483	ENSDARG00000079912	rapgefl1	ENSEEEP00000007674	ENSEEEG00000004015	RAPGEFL1
ENSDARP00000138176	ENSDARG00000101377	ccdc142	ENSEEEP00000017716	ENSEEEG00000008754	CCDC142
