Hsa Gene ID	Hsa Protein ID	Hsa Gene Name	Eel Gene ID	Eel Protein ID	Eel Gene Name
ENSP00000420180	ENSG00000175455	CCDC14	ENSEEEP00000022579	ENSEEEG00000010966	ccdc14
ENSP00000282226	ENSG00000152380	FAM151B	ENSEEEP00000035989	ENSEEEG00000017122	FAM151B
ENSP00000416128	ENSG00000175334	BANF1	ENSEEEP00000006929	ENSEEEG00000003653	BANF1
ENSP00000403535	ENSG00000040608	RTN4R	ENSEEEP00000019483	ENSEEEG00000009552	RTN4R
ENSP00000347847	ENSG00000196588	MRTFA	ENSEEEP00000023755	ENSEEEG00000011506	mrtfab
ENSP00000605348	ENSG00000228716	DHFR	ENSEEEP00000035986	ENSEEEG00000017120	dhfr
ENSP00000603251	ENSG00000137807	KIF23	ENSEEEP00000022708	ENSEEEG00000010714	KIF23
ENSP00000543074	ENSG00000135919	SERPINE2	ENSEEEP00000034169	ENSEEEG00000016271	SERPINE2
ENSP00000310170	ENSG00000175592	FOSL1	ENSEEEP00000042316	ENSEEEG00000019987	fosl1a
ENSP00000310801	ENSG00000171695	LKAAEAR1	ENSEEEP00000029285	ENSEEEG00000014034	LKAAEAR1
ENSP00000625854	ENSG00000125991	ERGIC3	ENSEEEP00000040172	ENSEEEG00000019046	ERGIC3
ENSP00000616235	ENSG00000080819	CPOX	ENSEEEP00000040507	ENSEEEG00000019188	cpox
ENSP00000332565	ENSG00000130540	SULT4A1	ENSEEEP00000010267	ENSEEEG00000005197	SULT4A1
ENSP00000656099	ENSG00000148690	FRA10AC1	ENSEEEP00000038424	ENSEEEG00000018245	FRA10AC1
ENSP00000588296	ENSG00000189091	SF3B3	ENSEEEP00000030627	ENSEEEG00000014658	SF3B3
ENSP00000157600	ENSG00000071282	LMCD1	ENSEEEP00000021000	ENSEEEG00000010240	lmcd1
ENSP00000774095	ENSG00000105707	HPN	ENSEEEP00000042421	ENSEEEG00000020029	HPN
ENSP00000384115	ENSG00000167077	MEI1	ENSEEEP00000032809	ENSEEEG00000015627	
ENSP00000560766	ENSG00000164038	SLC9B2	ENSEEEP00000038355	ENSEEEG00000018215	SLC9B2
ENSP00000385480	ENSG00000217442	SYCE3	ENSEEEP00000005199	ENSEEEG00000002712	syce3
ENSP00000446576	ENSG00000204842	ATXN2	ENSEEEP00000053879	ENSEEEG00000022082	ATXN2
ENSP00000560474	ENSG00000104442	ARMC1	ENSEEEP00000021925	ENSEEEG00000010651	ARMC1
ENSP00000760903	ENSG00000070010	UFD1	ENSEEEP00000021486	ENSEEEG00000010184	ufd1l
ENSP00000544038	ENSG00000066651	TRMT11	ENSEEEP00000052512	ENSEEEG00000024594	TRMT11
ENSP00000384653	ENSG00000179988	PSTK	ENSEEEP00000043013	ENSEEEG00000020305	PSTK
ENSP00000451945	ENSG00000229544	NKX1-2	ENSEEEP00000006344	ENSEEEG00000003375	nkx1.2la
ENSP00000603516	ENSG00000069482	GAL	ENSEEEP00000037445	ENSEEEG00000017808	galn
ENSP00000665053	ENSG00000129422	MTUS1	ENSEEEP00000042587	ENSEEEG00000020109	mtus1a
ENSP00000384552	ENSG00000171557	FGG	ENSEEEP00000009234	ENSEEEG00000004743	FGG
ENSP00000487420	ENSG00000156531	PHF6	ENSEEEP00000041866	ENSEEEG00000019790	PHF6
ENSP00000337991	ENSG00000179119	SPTY2D1	ENSEEEP00000049222	ENSEEEG00000023130	SPTY2D1
ENSP00000216124	ENSG00000100299	ARSA	ENSEEEP00000014450	ENSEEEG00000007199	ARSA
ENSP00000244728	ENSG00000124749	COL21A1	ENSEEEP00000017143	ENSEEEG00000008488	COL21A1
ENSP00000627439	ENSG00000167969	ECI1	ENSEEEP00000043556	ENSEEEG00000020586	ECI1
ENSP00000261868	ENSG00000104131	EIF3J	ENSEEEP00000017447	ENSEEEG00000008632	eif3jb
ENSP00000423822	ENSG00000164294	GPX8	ENSEEEP00000001431	ENSEEEG00000000939	gpx8
ENSP00000337976	ENSG00000101945	SUV39H1	ENSEEEP00000029450	ENSEEEG00000014101	suv39h1b
ENSP00000764815	ENSG00000169020	ATP5ME	ENSEEEP00000002782	ENSEEEG00000001600	atp5mea
ENSP00000509893	ENSG00000164404	GDF9	ENSEEEP00000048180	ENSEEEG00000022679	GDF9
ENSP00000483001	ENSG00000048162	NOP16	ENSEEEP00000063580	ENSEEEG00000027176	NOP16
ENSP00000361596	ENSG00000124257	NEURL2	ENSEEEP00000018534	ENSEEEG00000009104	NEURL2
ENSP00000760310	ENSG00000101220	ADISSP	ENSEEEP00000063492	ENSEEEG00000028407	C20orf27
ENSP00000603684	ENSG00000103194	USP10	ENSEEEP00000042090	ENSEEEG00000019881	USP10
ENSP00000722365	ENSG00000114850	SSR3	ENSEEEP00000005102	ENSEEEG00000002634	SSR3
ENSP00000554380	ENSG00000099194	SCD	ENSEEEP00000010981	ENSEEEG00000005352	SCD
ENSP00000440756	ENSG00000181924	COA4	ENSEEEP00000051700	ENSEEEG00000024279	COA4
ENSP00000320508	ENSG00000138942	RNF185	ENSEEEP00000016138	ENSEEEG00000007986	RNF185
ENSP00000635539	ENSG00000089682	RBM41	ENSEEEP00000038194	ENSEEEG00000018158	RBM41
ENSP00000531659	ENSG00000157426	AASDH	ENSEEEP00000040613	ENSEEEG00000019240	AASDH
ENSP00000315774	ENSG00000110717	NDUFS8	ENSEEEP00000006779	ENSEEEG00000003573	ndufs8a
ENSP00000265087	ENSG00000113739	STC2	ENSEEEP00000026632	ENSEEEG00000012880	stc2a
ENSP00000363254	ENSG00000165606	DRGX	ENSEEEP00000002962	ENSEEEG00000001687	DRGX
ENSP00000360995	ENSG00000138134	STAMBPL1	ENSEEEP00000060749	ENSEEEG00000010505	stambpb
ENSP00000775512	ENSG00000113456	RAD1	ENSEEEP00000052483	ENSEEEG00000024582	RAD1
ENSP00000603918	ENSG00000133874	RNF122	ENSEEEP00000024568	ENSEEEG00000011916	RNF122
ENSP00000605440	ENSG00000011376	LARS2	ENSEEEP00000048985	ENSEEEG00000022937	LARS2
ENSP00000287020	ENSG00000156466	GDF6	ENSEEEP00000034119	ENSEEEG00000016243	gdf6a
ENSP00000583557	ENSG00000155287	SLC25A28	ENSEEEP00000006307	ENSEEEG00000003354	SLC25A28
ENSP00000532768	ENSG00000147576	ADHFE1	ENSEEEP00000015349	ENSEEEG00000007623	adhfe1
ENSP00000412763	ENSG00000204740	MALRD1	ENSEEEP00000002673	ENSEEEG00000001543	MALRD1
ENSP00000764751	ENSG00000025770	NCAPH2	ENSEEEP00000011084	ENSEEEG00000005615	NCAPH2
ENSP00000387187	ENSG00000140264	SERF2	ENSEEEP00000057645	ENSEEEG00000027893	SERF2
ENSP00000789044	ENSG00000108187	PBLD	ENSEEEP00000009016	ENSEEEG00000004649	PBLD
ENSP00000482232	ENSG00000135346	CGA	ENSEEEP00000019360	ENSEEEG00000009452	CGA
ENSP00000379250	ENSG00000087586	AURKA	ENSEEEP00000028376	ENSEEEG00000013646	AURKA
ENSP00000261881	ENSG00000075131	TIPIN	ENSEEEP00000042809	ENSEEEG00000020200	TIPIN
ENSP00000718427	ENSG00000119326	CTNNAL1	ENSEEEP00000039157	ENSEEEG00000018608	CTNNAL1
ENSP00000222250	ENSG00000105643	ARRDC2	ENSEEEP00000058781	ENSEEEG00000005735	ARRDC2
ENSP00000268613	ENSG00000140945	CDH13	ENSEEEP00000030085	ENSEEEG00000014419	CDH13
ENSP00000358667	ENSG00000102178	UBL4A	ENSEEEP00000001886	ENSEEEG00000001182	UBL4A
ENSP00000446205	ENSG00000179111	HES7	ENSEEEP00000027666	ENSEEEG00000013326	her1
ENSP00000262768	ENSG00000035862	TIMP2	ENSEEEP00000011332	ENSEEEG00000005738	timp2a
ENSP00000568321	ENSG00000103381	CPPED1	ENSEEEP00000020905	ENSEEEG00000010195	CPPED1
ENSP00000334851	ENSG00000186479	RGS7BP	ENSEEEP00000014911	ENSEEEG00000007424	rgs7bpb
ENSP00000685526	ENSG00000112981	NME5	ENSEEEP00000004347	ENSEEEG00000002250	nme5
ENSP00000376359	ENSG00000109956	B3GAT1	ENSEEEP00000030441	ENSEEEG00000014581	b3gat1a
ENSP00000471388	ENSG00000083845	RPS5	ENSEEEP00000026799	ENSEEEG00000016853	RPS5
ENSP00000770517	ENSG00000168589	DYNLRB2	ENSEEEP00000008645	ENSEEEG00000004482	DYNLRB2
ENSP00000497423	ENSG00000121073	SLC35B1	ENSEEEP00000003473	ENSEEEG00000001929	SLC35B1
ENSP00000566665	ENSG00000155229	MMS19	ENSEEEP00000006755	ENSEEEG00000003561	MMS19
ENSP00000528341	ENSG00000087237	CETP	ENSEEEP00000047581	ENSEEEG00000022399	cetp
ENSP00000312002	ENSG00000135077	HAVCR2	ENSEEEP00000043755	ENSEEEG00000020684	HAVCR1
ENSP00000447690	ENSG00000205323	SARNP	ENSEEEP00000057208	ENSEEEG00000026621	SARNP
ENSP00000619975	ENSG00000103671	TRIP4	ENSEEEP00000038750	ENSEEEG00000018387	TRIP4
ENSP00000370021	ENSG00000044459	CNTLN	ENSEEEP00000048034	ENSEEEG00000022630	
ENSP00000596317	ENSG00000167291	TBC1D16	ENSEEEP00000011043	ENSEEEG00000005592	TBC1D16
ENSP00000305651	ENSG00000169245	CXCL10	ENSEEEP00000001596	ENSEEEG00000001020	cxcl11.1
ENSP00000262844	ENSG00000101935	AMMECR1	ENSEEEP00000043584	ENSEEEG00000020596	AMMECR1
ENSP00000712734	ENSG00000011485	PPP5C	ENSEEEP00000063694	ENSEEEG00000003432	PPP5C
ENSP00000376572	ENSG00000212864	RNF208	ENSEEEP00000032956	ENSEEEG00000015691	RNF208
ENSP00000362760	ENSG00000171448	ZBTB26	ENSEEEP00000000303	ENSEEEG00000000226	ZBTB26
ENSP00000371230	ENSG00000147853	AK3	ENSEEEP00000022163	ENSEEEG00000010770	AK3
ENSP00000371517	ENSG00000242110	AMACR	ENSEEEP00000030267	ENSEEEG00000014511	AMACR
ENSP00000579936	ENSG00000104731	KLHDC4	ENSEEEP00000021678	ENSEEEG00000010542	KLHDC4
ENSP00000454719	ENSG00000178761	FAM219B	ENSEEEP00000063572	ENSEEEG00000028921	FAM219B
ENSP00000190165	ENSG00000064218	DMRT3	ENSEEEP00000005790	ENSEEEG00000003065	dmrt3a
ENSP00000242729	ENSG00000123096	SSPN	ENSEEEP00000045916	ENSEEEG00000021644	SSPN
ENSP00000397459	ENSG00000112679	DUSP22	ENSEEEP00000051487	ENSEEEG00000024173	dusp22b
ENSP00000261233	ENSG00000090376	IRAK3	ENSEEEP00000037424	ENSEEEG00000017796	IRAK3
ENSP00000401853	ENSG00000068001	HYAL2	ENSEEEP00000005336	ENSEEEG00000002792	hyal2b
ENSP00000350708	ENSG00000119318	RAD23B	ENSEEEP00000058841	ENSEEEG00000010777	RAD23B
ENSP00000791440	ENSG00000138621	PPCDC	ENSEEEP00000048153	ENSEEEG00000022669	PPCDC
ENSP00000479708	ENSG00000147676	MAL2	ENSEEEP00000001724	ENSEEEG00000001103	MAL2
ENSP00000615821	ENSG00000104866	PPP1R37	ENSEEEP00000048550	ENSEEEG00000022835	PPP1R37
ENSP00000285243	ENSG00000154945	ANKRD40	ENSEEEP00000008697	ENSEEEG00000004513	ANKRD40
ENSP00000542774	ENSG00000165071	TMEM71	ENSEEEP00000025929	ENSEEEG00000012561	si:ch211-235o23.1
ENSP00000588365	ENSG00000156970	BUB1B	ENSEEEP00000045400	ENSEEEG00000021429	bub1bb
ENSP00000585223	ENSG00000109066	SLC38A12	ENSEEEP00000060945	ENSEEEG00000024897	TMEM104
ENSP00000221166	ENSG00000104722	NEFM	ENSEEEP00000030495	ENSEEEG00000014609	nefma
ENSP00000729663	ENSG00000167106	EEIG1	ENSEEEP00000061314	ENSEEEG00000002521	fam102ab
ENSP00000512467	ENSG00000012232	EXTL3	ENSEEEP00000018957	ENSEEEG00000009291	EXTL3
ENSP00000248142	ENSG00000127580	WDR24	ENSEEEP00000006686	ENSEEEG00000003544	WDR24
ENSP00000252456	ENSG00000130176	CNN1	ENSEEEP00000039013	ENSEEEG00000018513	cnn1b
ENSP00000215095	ENSG00000099365	STX1B	ENSEEEP00000053351	ENSEEEG00000016619	STX1B
ENSP00000316786	ENSG00000176387	HSD11B2	ENSEEEP00000045517	ENSEEEG00000021476	HSD11B2
ENSP00000362386	ENSG00000167094	TTC16	ENSEEEP00000047296	ENSEEEG00000022255	ttc16
ENSP00000626602	ENSG00000167967	E4F1	ENSEEEP00000009056	ENSEEEG00000004667	E4F1
ENSP00000552471	ENSG00000135454	B4GALNT1	ENSEEEP00000009319	ENSEEEG00000004787	b4galnt1b
ENSP00000360659	ENSG00000107281	NPDC1	ENSEEEP00000034304	ENSEEEG00000016336	npdc1a
ENSP00000753174	ENSG00000166831	RBPMS2	ENSEEEP00000056369	ENSEEEG00000026440	rbpms2a
ENSP00000357979	ENSG00000112333	NR2E1	ENSEEEP00000023941	ENSEEEG00000000656	NR2E1
ENSP00000542093	ENSG00000105695	MAG	ENSEEEP00000002652	ENSEEEG00000001530	MAG
ENSP00000387252	ENSG00000167131	DNAAF19	ENSEEEP00000012539	ENSEEEG00000006293	CCDC103
ENSP00000393099	ENSG00000137802	MAPKBP1	ENSEEEP00000008231	ENSEEEG00000004301	
ENSP00000300658	ENSG00000161395	PGAP3	ENSEEEP00000057545	ENSEEEG00000025573	PGAP3
ENSP00000486574	ENSG00000165006	UBAP1	ENSEEEP00000031411	ENSEEEG00000015029	UBAP1
ENSP00000543264	ENSG00000011295	TTC19	ENSEEEP00000031050	ENSEEEG00000014865	TTC19
ENSP00000219197	ENSG00000102924	CBLN1	ENSEEEP00000030562	ENSEEEG00000014639	CBLN1
ENSP00000437360	ENSG00000110200	ANAPC15	ENSEEEP00000008057	ENSEEEG00000004203	ANAPC15
ENSP00000217402	ENSG00000101421	CHMP4B	ENSEEEP00000003653	ENSEEEG00000001996	chmp4bb
ENSP00000793388	ENSG00000132821	VSTM2L	ENSEEEP00000023861	ENSEEEG00000011577	VSTM2L
ENSP00000544996	ENSG00000101193	GID8	ENSEEEP00000013612	ENSEEEG00000006802	gid8b
ENSP00000372056	ENSG00000170561	IRX2	ENSEEEP00000006865	ENSEEEG00000003628	irx2a
ENSP00000481733	ENSG00000063322	MED29	ENSEEEP00000036788	ENSEEEG00000017453	MED29
ENSP00000317872	ENSG00000122257	RBBP6	ENSEEEP00000038174	ENSEEEG00000018142	RBBP6
ENSP00000205194	ENSG00000090971	NAT14	ENSEEEP00000060448	ENSEEEG00000028385	NAT14
ENSP00000628487	ENSG00000064601	CTSA	ENSEEEP00000015626	ENSEEEG00000007635	CTSA
ENSP00000536325	ENSG00000180104	EXOC3	ENSEEEP00000002685	ENSEEEG00000001541	EXOC3
ENSP00000561851	ENSG00000090581	GNPTG	ENSEEEP00000017247	ENSEEEG00000008531	gnptg
ENSP00000583039	ENSG00000198887	SMC5	ENSEEEP00000023984	ENSEEEG00000011620	SMC5
ENSP00000476525	ENSG00000105185	PDCD5	ENSEEEP00000035016	ENSEEEG00000016650	PDCD5
ENSP00000454153	ENSG00000164241	C5orf63	ENSEEEP00000060319	ENSEEEG00000015716	c17h5orf63
ENSP00000332656	ENSG00000182156	ENPP7	ENSEEEP00000013369	ENSEEEG00000006700	ENPP7
ENSP00000499145	ENSG00000141527	CARD14	ENSEEEP00000012032	ENSEEEG00000006065	CARD14
ENSP00000379086	ENSG00000128165	ADM2	ENSEEEP00000038003	ENSEEEG00000018047	adm2a
ENSP00000761938	ENSG00000186468	RPS23	ENSEEEP00000059298	ENSEEEG00000010666	rps23
ENSP00000793183	ENSG00000103855	CD276	ENSEEEP00000034170	ENSEEEG00000016270	cd276
ENSP00000489956	ENSG00000118308	IRAG2	ENSEEEP00000028871	ENSEEEG00000013866	lrmp
ENSP00000547659	ENSG00000113638	TTC33	ENSEEEP00000029605	ENSEEEG00000014182	TTC33
ENSP00000497456	ENSG00000176715	ACSF3	ENSEEEP00000041321	ENSEEEG00000019554	ACSF3
ENSP00000593739	ENSG00000100220	RTCB	ENSEEEP00000003387	ENSEEEG00000001893	RTCB
ENSP00000342295	ENSG00000164512	ANKRD55	ENSEEEP00000044275	ENSEEEG00000020917	ANKRD55
ENSP00000704504	ENSG00000104886	PLEKHJ1	ENSEEEP00000056016	ENSEEEG00000027809	PLEKHJ1
ENSP00000307259	ENSG00000169313	P2RY12	ENSEEEP00000051837	ENSEEEG00000024331	P2RY12
ENSP00000543482	ENSG00000129084	PSMA1	ENSEEEP00000003246	ENSEEEG00000001825	psma1
ENSP00000331127	ENSG00000183336	BOLA2	ENSEEEP00000039147	ENSEEEG00000018599	BOLA2
ENSP00000527299	ENSG00000075234	TTC38	ENSEEEP00000016801	ENSEEEG00000008323	TTC38
ENSP00000758786	ENSG00000242372	EIF6	ENSEEEP00000004746	ENSEEEG00000002482	EIF6
ENSP00000363298	ENSG00000119411	BSPRY	ENSEEEP00000053552	ENSEEEG00000020117	BSPRY
ENSP00000540664	ENSG00000135452	TSPAN31	ENSEEEP00000003092	ENSEEEG00000001753	TSPAN31
ENSP00000571585	ENSG00000065054	NHERF2	ENSEEEP00000037599	ENSEEEG00000017889	SLC9A3R2
ENSP00000325091	ENSG00000130224	LRCH2	ENSEEEP00000060785	ENSEEEG00000007209	LRCH2
ENSP00000552185	ENSG00000108950	FAM20A	ENSEEEP00000007141	ENSEEEG00000003760	FAM20A
ENSP00000445806	ENSG00000105197	TIMM50	ENSEEEP00000052405	ENSEEEG00000024549	TIMM50
ENSP00000617499	ENSG00000111726	CMAS	ENSEEEP00000037350	ENSEEEG00000017750	CMAS
ENSP00000439244	ENSG00000148337	CIZ1	ENSEEEP00000051360	ENSEEEG00000024102	ciz1b
ENSP00000219660	ENSG00000103375	AQP8	ENSEEEP00000010983	ENSEEEG00000005210	AQP8
ENSP00000605778	ENSG00000198356	GET3	ENSEEEP00000062886	ENSEEEG00000026795	GET3
ENSP00000624769	ENSG00000102181	CD99L2	ENSEEEP00000063341	ENSEEEG00000027715	CD99L2
ENSP00000601345	ENSG00000089195	TRMT6	ENSEEEP00000025713	ENSEEEG00000012462	TRMT6
ENSP00000535340	ENSG00000140688	RUSF1	ENSEEEP00000032404	ENSEEEG00000015430	zgc:162613
ENSP00000641416	ENSG00000155329	ZCCHC10	ENSEEEP00000059414	ENSEEEG00000028788	ZCCHC10
ENSP00000562660	ENSG00000126461	SCAF1	ENSEEEP00000054285	ENSEEEG00000025374	SCAF1
ENSP00000729687	ENSG00000170296	GABARAP	ENSEEEP00000034003	ENSEEEG00000016196	gabarapa
ENSP00000623547	ENSG00000163898	LIPH	ENSEEEP00000009260	ENSEEEG00000004748	lipia
ENSP00000536991	ENSG00000104897	SF3A2	ENSEEEP00000034877	ENSEEEG00000016587	SF3A2
ENSP00000289431	ENSG00000158480	SPATA2	ENSEEEP00000054401	ENSEEEG00000025169	SPATA2
ENSP00000706967	ENSG00000176463	SLCO3A1	ENSEEEP00000036440	ENSEEEG00000017324	SLCO3A1
ENSP00000789753	ENSG00000179761	PIPOX	ENSEEEP00000052532	ENSEEEG00000024605	PIPOX
ENSP00000601715	ENSG00000198646	NCOA6	ENSEEEP00000053376	ENSEEEG00000013440	NCOA6
ENSP00000558214	ENSG00000111229	ARPC3	ENSEEEP00000007177	ENSEEEG00000003783	ARPC3
ENSP00000650973	ENSG00000162298	SYVN1	ENSEEEP00000030616	ENSEEEG00000014663	SYVN1
ENSP00000645236	ENSG00000109016	DHRS7B	ENSEEEP00000033516	ENSEEEG00000015936	DHRS7B
ENSP00000367879	ENSG00000047597	XK	ENSEEEP00000057661	ENSEEEG00000024964	XK
ENSP00000380189	ENSG00000126759	CFP	ENSEEEP00000024849	ENSEEEG00000012038	CFP
ENSP00000309751	ENSG00000174327	SLC16A13	ENSEEEP00000001149	ENSEEEG00000000772	SLC16A13
ENSP00000330432	ENSG00000133477	FAM83F	ENSEEEP00000008307	ENSEEEG00000004339	fam83fb
ENSP00000518693	ENSG00000205704	SMIM45	ENSEEEP00000041448	ENSEEEG00000019601	
ENSP00000649251	ENSG00000093217	XYLB	ENSEEEP00000005637	ENSEEEG00000002955	XYLB
ENSP00000567481	ENSG00000165678	GHITM	ENSEEEP00000042950	ENSEEEG00000020270	GHITM
ENSP00000539219	ENSG00000077942	FBLN1	ENSEEEP00000063250	ENSEEEG00000019045	FBLN1
ENSP00000611149	ENSG00000108599	AKAP10	ENSEEEP00000010487	ENSEEEG00000005032	AKAP10
ENSP00000356444	ENSG00000203727	SAMD5	ENSEEEP00000023886	ENSEEEG00000011595	SAMD5
ENSP00000655550	ENSG00000089177	KIF16B	ENSEEEP00000036959	ENSEEEG00000017487	kif16ba
ENSP00000341843	ENSG00000010030	ETV7	ENSEEEP00000054144	ENSEEEG00000011311	ETV7
ENSP00000337178	ENSG00000148841	ITPRIP	ENSEEEP00000050390	ENSEEEG00000023695	ITPRIP
ENSP00000356465	ENSG00000118508	RAB32	ENSEEEP00000023898	ENSEEEG00000011601	rab32a
ENSP00000406986	ENSG00000146360	GPR6	ENSEEEP00000044513	ENSEEEG00000021028	GPR6
ENSP00000775099	ENSG00000029993	HMGB3	ENSEEEP00000042008	ENSEEEG00000019850	hmgb3b
ENSP00000319831	ENSG00000023892	DEF6	ENSEEEP00000014601	ENSEEEG00000007251	def6a
ENSP00000791736	ENSG00000101463	SYNDIG1	ENSEEEP00000031572	ENSEEEG00000015099	SYNDIG1
ENSP00000604552	ENSG00000181350	LRRC75A	ENSEEEP00000056961	ENSEEEG00000024647	si:ch211-214j8.12
ENSP00000638890	ENSG00000112232	KHDRBS2	ENSEEEP00000008222	ENSEEEG00000004295	KHDRBS2
ENSP00000329558	ENSG00000164284	GRPEL2	ENSEEEP00000014930	ENSEEEG00000007436	GRPEL2
ENSP00000373647	ENSG00000188522	FAM83G	ENSEEEP00000039146	ENSEEEG00000018597	FAM83G
ENSP00000262487	ENSG00000101230	ISM1	ENSEEEP00000047041	ENSEEEG00000022146	ism2a
ENSP00000509334	ENSG00000147123	NDUFB11	ENSEEEP00000014577	ENSEEEG00000007248	NDUFB11
ENSP00000652945	ENSG00000124214	STAU1	ENSEEEP00000044685	ENSEEEG00000021091	STAU1
ENSP00000296785	ENSG00000164331	ANKRA2	ENSEEEP00000060806	ENSEEEG00000014880	ANKRA2
ENSP00000276055	ENSG00000147119	CHST7	ENSEEEP00000036644	ENSEEEG00000017399	CHST7
ENSP00000625029	ENSG00000166575	TMEM135	ENSEEEP00000025107	ENSEEEG00000012164	TMEM135
ENSP00000448051	ENSG00000183283	DAZAP2	ENSEEEP00000057026	ENSEEEG00000025891	DAZAP2
ENSP00000348714	ENSG00000119682	AREL1	ENSEEEP00000018945	ENSEEEG00000009288	AREL1
ENSP00000490886	ENSG00000152582	SPEF2	ENSEEEP00000012884	ENSEEEG00000006473	SPEF2
ENSP00000514450	ENSG00000081087	OSTM1	ENSEEEP00000056374	ENSEEEG00000029151	OSTM1
ENSP00000712128	ENSG00000122882	ECD	ENSEEEP00000016488	ENSEEEG00000008172	ECD
ENSP00000608002	ENSG00000100038	TOP3B	ENSEEEP00000018762	ENSEEEG00000009149	TOP3B
ENSP00000422440	ENSG00000112667	DNPH1	ENSEEEP00000026487	ENSEEEG00000012816	DNPH1
ENSP00000610770	ENSG00000033011	ALG1	ENSEEEP00000042511	ENSEEEG00000020079	alg1
ENSP00000793141	ENSG00000166900	STX3	ENSEEEP00000031891	ENSEEEG00000015224	stx3a
ENSP00000360485	ENSG00000186471	AKAP14	ENSEEEP00000051339	ENSEEEG00000024092	si:dkeyp-81f3.4
ENSP00000497334	ENSG00000165182	CXorf58	ENSEEEP00000043040	ENSEEEG00000020318	zgc:171929
ENSP00000370430	ENSG00000006757	PNPLA4	ENSEEEP00000027241	ENSEEEG00000013148	PNPLA4
ENSP00000363979	ENSG00000125971	DYNLRB1	ENSEEEP00000059312	ENSEEEG00000002315	DYNLRB1
ENSP00000582165	ENSG00000100632	ERH	ENSEEEP00000061317	ENSEEEG00000024991	ERH
ENSP00000533301	ENSG00000148803	FUOM	ENSEEEP00000004961	ENSEEEG00000002584	fuom
ENSP00000523374	ENSG00000137806	NDUFAF1	ENSEEEP00000048721	ENSEEEG00000022923	NDUFAF1
ENSP00000365630	ENSG00000165105	RASEF	ENSEEEP00000053280	ENSEEEG00000027727	RASEF
ENSP00000737464	ENSG00000126602	TRAP1	ENSEEEP00000047390	ENSEEEG00000022243	TRAP1
ENSP00000566446	ENSG00000169895	SYAP1	ENSEEEP00000006012	ENSEEEG00000003202	SYAP1
ENSP00000299213	ENSG00000166173	LARP6	ENSEEEP00000004518	ENSEEEG00000002352	larp6a
ENSP00000544705	ENSG00000137106	GRHPR	ENSEEEP00000029992	ENSEEEG00000014369	grhpra
ENSP00000620474	ENSG00000167671	UBXN6	ENSEEEP00000028982	ENSEEEG00000013903	UBXN6
ENSP00000531668	ENSG00000104047	DTWD1	ENSEEEP00000049260	ENSEEEG00000023149	DTWD1
ENSP00000362601	ENSG00000204116	CHIC1	ENSEEEP00000056164	ENSEEEG00000027792	CHIC1
ENSP00000595950	ENSG00000100836	PABPN1	ENSEEEP00000007613	ENSEEEG00000003977	pabpn1
ENSP00000629018	ENSG00000165637	VDAC2	ENSEEEP00000051596	ENSEEEG00000024229	VDAC2
ENSP00000581777	ENSG00000071794	HLTF	ENSEEEP00000009327	ENSEEEG00000004781	hltf
ENSP00000547857	ENSG00000146072	TNFRSF21	ENSEEEP00000026805	ENSEEEG00000012932	TNFRSF21
ENSP00000616922	ENSG00000101199	ARFGAP1	ENSEEEP00000032544	ENSEEEG00000015522	ARFGAP1
ENSP00000618017	ENSG00000131981	LGALS3	ENSEEEP00000009258	ENSEEEG00000004751	lgals3b
ENSP00000304078	ENSG00000168143	FAM83B	ENSEEEP00000017072	ENSEEEG00000008467	fam83b
ENSP00000256969	ENSG00000134548	SPX	ENSEEEP00000021965	ENSEEEG00000010667	SPX
ENSP00000300209	ENSG00000123427	EEF1AKMT3	ENSEEEP00000032418	ENSEEEG00000015457	
ENSP00000357792	ENSG00000009413	REV3L	ENSEEEP00000018397	ENSEEEG00000009036	
ENSP00000367265	ENSG00000136026	CKAP4	ENSEEEP00000043863	ENSEEEG00000020730	
ENSP00000791408	ENSG00000100129	EIF3L	ENSEEEP00000039394	ENSEEEG00000018704	eif3s6ip
ENSP00000454612	ENSG00000128989	ARPP19	ENSEEEP00000022847	ENSEEEG00000011084	arpp19b
ENSP00000640177	ENSG00000141293	SKAP1	ENSEEEP00000023921	ENSEEEG00000011611	SKAP1
ENSP00000560173	ENSG00000105329	TGFB1	ENSEEEP00000004598	ENSEEEG00000002400	tgfb1a
ENSP00000508005	ENSG00000288701	PRRC2B	ENSEEEP00000032762	ENSEEEG00000015610	PRRC2B
ENSP00000456851	ENSG00000104164	BLOC1S6	ENSEEEP00000048992	ENSEEEG00000023021	BLOC1S6
ENSP00000370150	ENSG00000124535	WRNIP1	ENSEEEP00000000217	ENSEEEG00000000164	wrnip1
ENSP00000573671	ENSG00000167280	ENGASE	ENSEEEP00000060814	ENSEEEG00000016212	ENGASE
ENSP00000763815	ENSG00000254999	BRK1	ENSEEEP00000020203	ENSEEEG00000009864	BRK1
ENSP00000590413	ENSG00000055211	GINM1	ENSEEEP00000008993	ENSEEEG00000004641	GINM1
ENSP00000775428	ENSG00000134146	DPH6	ENSEEEP00000025827	ENSEEEG00000012518	DPH6
ENSP00000422375	ENSG00000198585	NUDT16	ENSEEEP00000061144	ENSEEEG00000024755	zgc:103759
ENSP00000298307	ENSG00000165516	KLHDC2	ENSEEEP00000014100	ENSEEEG00000006821	KLHDC2
